正反同义标签,格式标签,否定式,肯定式
1,就差没,小曲的家人对我很好，就差没加入一份子来劝我。,小曲的家人对我很好，就差加入一份子来劝我。
1,就差没,他好生困惑，才微启朱唇想要问个清楚，哪知他的舌尖不客气地闯进来与他的纠缠……探索……吻得他头昏脑胀，无法思考，就差没化作一摊泥……“小宝儿，可了解什么是吻了吗？,他好生困惑，才微启朱唇想要问个清楚，哪知他的舌尖不客气地闯进来与他的纠缠……探索……吻得他头昏脑胀，无法思考，就差化作一摊泥……“小宝儿，可了解什么是吻了吗？
1,就差没,罗伦斯洛“霍”一声笔挺站起，毕恭毕敬，犹如朝见皇上，就差没半跪在地。,罗伦斯洛“霍”一声笔挺站起，毕恭毕敬，犹如朝见皇上，就差半跪在地。
1,就差没,暑假回来，我见过他，喇叭裤、长头发、花衬衫，走起路来，肩膀一耸一耸，装出一副黑人的音乐节奏，就差没单手拍一记手心，嘴里嚷“嗨，人。,暑假回来，我见过他，喇叭裤、长头发、花衬衫，走起路来，肩膀一耸一耸，装出一副黑人的音乐节奏，就差单手拍一记手心，嘴里嚷“嗨，人。
1,就差没,＂店小二马上鞠躬哈腰，谦卑的样子就差没去亲吻刘公子的脚趾头。,＂店小二马上鞠躬哈腰，谦卑的样子就差去亲吻刘公子的脚趾头。
1,就差没,人家就差没去找会计了！,人家就差去找会计了！
1,就差没,一个成天只会要求奢侈享受玩女人的烂小子，却要他们活像老祖宗一样供奉伺候着，就差没去舔他的脚指头了。,一个成天只会要求奢侈享受玩女人的烂小子，却要他们活像老祖宗一样供奉伺候着，就差去舔他的脚指头了。
1,就差没,她在托比面前干了一切事，表示她很想和托比睡觉，就差没发出紧急信号了。,她在托比面前干了一切事，表示她很想和托比睡觉，就差发出紧急信号了。
1,就差没,“每个人都是愁眉苦脸兼恐惧害怕，就差没发抖叫救命，可只有我们这一桌是嘻嘻哈哈的，你们不怕人家怀疑吗？,“每个人都是愁眉苦脸兼恐惧害怕，就差发抖叫救命，可只有我们这一桌是嘻嘻哈哈的，你们不怕人家怀疑吗？
1,就差没,”他气得就差没口吐白沫。,”他气得就差口吐白沫。
1,就差没,＂华仲阳直觉头晕目眩，就差没口吐白白沫。,＂华仲阳直觉头晕目眩，就差口吐白白沫。
1,就差没,＂牟丽就差没叩头谢恩。,＂牟丽就差叩头谢恩。
1,就差没,“咱们宝贝儿子替咱们定下的约会，”她斜睨着Ｍｉｃｋｅｙ“只要有人上门，他一律代为接受，就差没叫他们多找几位顾客来了。,“咱们宝贝儿子替咱们定下的约会，”她斜睨着Ｍｉｃｋｅｙ“只要有人上门，他一律代为接受，就差叫他们多找几位顾客来了。
1,就差没,一番洗胃拆腾后，安沛伦是没事了，但是江亦雷就被大伙骂惨了，就差没叫他切腹谢罪！,一番洗胃拆腾后，安沛伦是没事了，但是江亦雷就被大伙骂惨了，就差叫他切腹谢罪！
1,就差没,她立刻就跳了起来，脸上刷白刷白的，就差没叫出来了。,她立刻就跳了起来，脸上刷白刷白的，就差叫出来了。
1,就差没,昨天晚上眼泪汪汪的舍不得她，就差没叫她发誓终身守在她身边，今早又巴不得她立时三刻嫁出去。,昨天晚上眼泪汪汪的舍不得她，就差叫她发誓终身守在她身边，今早又巴不得她立时三刻嫁出去。
1,就差没,嘉绮发现彦豪的意见比她们还多，这一件嫌太露，那一件又大透明，就差没叫设计师用最厚的布料将伊人从头到脚包起来。,嘉绮发现彦豪的意见比她们还多，这一件嫌太露，那一件又大透明，就差叫设计师用最厚的布料将伊人从头到脚包起来。
1,就差没,黄怨言也是全付披挂，一身劲装，只手合握两栖“锤角锤”，模样挺英武，有几分老当益壮的气势，只是神情不怎么好看，愁眉苦脸，怔怔忡忡的，就差没叹出一口气来。,黄怨言也是全付披挂，一身劲装，只手合握两栖“锤角锤”，模样挺英武，有几分老当益壮的气势，只是神情不怎么好看，愁眉苦脸，怔怔忡忡的，就差叹出一口气来。
1,就差没,其间回了很多读者的信，也喝了很多咖啡，就差没叼根烟在手上了。,其间回了很多读者的信，也喝了很多咖啡，就差叼根烟在手上了。
1,就差没,就差没吆喝“肃静”、“开道”了。,就差吆喝“肃静”、“开道”了。
1,就差没,我——我——”气得没法子说话，就差没吐出血来！,我——我——”气得没法子说话，就差吐出血来！
1,就差没,”锁锁苦笑，“你没看见刚才那些买主的嘴脸，狠狠地还价，声明家具电器装修全部包括在内，就差没命令我跟过去做丫鬟。,”锁锁苦笑，“你没看见刚才那些买主的嘴脸，狠狠地还价，声明家具电器装修全部包括在内，就差命令我跟过去做丫鬟。
1,就差没,祖父与马几乎是形影不离，就差没和马一起站着睡眠了。,祖父与马几乎是形影不离，就差和马一起站着睡眠了。
1,就差没,”她握拳道，就差没咬牙切齿。,”她握拳道，就差咬牙切齿。
1,就差没,”盈盈依旧缩在我身后，不肯让他碰，眼睛眨呀眨地就差没哭出来。,”盈盈依旧缩在我身后，不肯让他碰，眼睛眨呀眨地就差哭出来。
1,就差没,她身上还有药水肥皂味道，清醒活泼，头发用一只夹子束起，嘴上有一点点口红，看上去心情比较好，选择巧克力的时候，大眼中有一种天真的渴望与贪婪，糖在嘴里融化的时候，她微眯眼睛享受，就差没唔的一声。,她身上还有药水肥皂味道，清醒活泼，头发用一只夹子束起，嘴上有一点点口红，看上去心情比较好，选择巧克力的时候，大眼中有一种天真的渴望与贪婪，糖在嘴里融化的时候，她微眯眼睛享受，就差唔的一声。
1,就差没,他坐在她的床上，抱着神志不清的她，就差没唱两首催眠曲哄她入眠了。,他坐在她的床上，抱着神志不清的她，就差唱两首催眠曲哄她入眠了。
1,就差没,他们互相之间信誓巳旦要打响这一炮，就差没喝鸡血酒。,他们互相之间信誓巳旦要打响这一炮，就差喝鸡血酒。
1,就差没,”猫咪不屑地瞟一眼小毛毯上的可爱幼虎花纹，就差没嗤之以鼻了。,”猫咪不屑地瞟一眼小毛毯上的可爱幼虎花纹，就差嗤之以鼻了。
1,就差没,’这些树，她不知爬上爬下几百次，就差没在上面刻名留念，而这死男人，只不过大小姐她今天不想爬罢了，所以找他帮忙摘一下垂在那儿的果子，他也是伸手就可及，又没要他费多少力，竟然当本姑娘在求他似的耍神气？,’这些树，她不知爬上爬下几百次，就差在上面刻名留念，而这死男人，只不过大小姐她今天不想爬罢了，所以找他帮忙摘一下垂在那儿的果子，他也是伸手就可及，又没要他费多少力，竟然当本姑娘在求他似的耍神气？
1,就差没,”黎晓宁激动的站起身，一连迭的反对着，就差没在众人面前捶胸顿足而已。,”黎晓宁激动的站起身，一连迭的反对着，就差在众人面前捶胸顿足而已。
1,就差没,＊＊＊卢竞彤这一阵子在扬鹰出现的频率是过去的十倍都不止，只不过多半是在她处理完传亚的事务後被阿星挟持而来，阿星就差没在副总裁室里也为她加张办公桌了，不明就里的人还以为扬鹰集团网罗了传亚机构的总经理呢！,＊＊＊卢竞彤这一阵子在扬鹰出现的频率是过去的十倍都不止，只不过多半是在她处理完传亚的事务後被阿星挟持而来，阿星就差在副总裁室里也为她加张办公桌了，不明就里的人还以为扬鹰集团网罗了传亚机构的总经理呢！
1,就差没,他趴在屋檐上一整天却一无所获，就差没在屋顶上睡着。,他趴在屋檐上一整天却一无所获，就差在屋顶上睡着。
1,就差没,也许他就差没在巴黎的‘圣殿’街住了！,也许他就差在巴黎的‘圣殿’街住了！
1,就差没,——可惜那一张脸，在该长耳朵的地方没长耳朵，在该长鼻子的地方却是一个大洞，就差没在该有一双眼睛的地方剁下了一只。,——可惜那一张脸，在该长耳朵的地方没长耳朵，在该长鼻子的地方却是一个大洞，就差在该有一双眼睛的地方剁下了一只。
1,就差没,他就差没在这里洗脸刷牙淋浴。,他就差在这里洗脸刷牙淋浴。
1,就差没,“恐怖的女人，”赵三喃喃曰，“就差没在额上凿字曰：顺我者昌，逆我者亡。,“恐怖的女人，”赵三喃喃曰，“就差在额上凿字曰：顺我者昌，逆我者亡。
1,就差没,”绿依不可思议地叫着，就差没多加一句：他是白痴啊！,”绿依不可思议地叫着，就差多加一句：他是白痴啊！
1,就差没,司机走远后，赵芸大大的吐了一口气，就差没大声欢呼了。,司机走远后，赵芸大大的吐了一口气，就差大声欢呼了。
1,就差没,光说大明寺，别人初一、十五求神拜佛，她就差没天天报到。,光说大明寺，别人初一、十五求神拜佛，她就差天天报到。
1,就差没,我为那些花瓣鞠了一把泪，就差没学黛玉葬花了。,我为那些花瓣鞠了一把泪，就差学黛玉葬花了。
1,就差没,”他疼惜地紧拥着她，就差没将她嵌进胸口里去。,”他疼惜地紧拥着她，就差将她嵌进胸口里去。
1,就差没,”薛璇将碗筷用力的往枸橼和白色钟形花面前一摆，就差没将空碗震破。,”薛璇将碗筷用力的往枸橼和白色钟形花面前一摆，就差将空碗震破。
1,就差没,就差没小鹿班比来向你问好呢。,就差小鹿班比来向你问好呢。
1,就差没,倪大维一跨进黎晓宁的房间，就差没尖叫出声。,倪大维一跨进黎晓宁的房间，就差尖叫出声。
1,就差没,“只要能在嘴奶奶二十多岁死了丈夫，粗纸也舍不得多花一张的，省吃省用养大了这么个好儿子，一个月倒也挣得二三十块钱种家养眷，奶奶这份儿老福真也不差什么咧——就差没尝过洋饽饽儿的味儿！,“只要能在嘴奶奶二十多岁死了丈夫，粗纸也舍不得多花一张的，省吃省用养大了这么个好儿子，一个月倒也挣得二三十块钱种家养眷，奶奶这份儿老福真也不差什么咧——就差尝过洋饽饽儿的味儿！
1,就差没,”大勇吓得又跳又叫，就差没屁滚尿流！,”大勇吓得又跳又叫，就差屁滚尿流！
1,就差没,这简直就是名副其实的巫婆笑声，她俩就差没带着扫把。,这简直就是名副其实的巫婆笑声，她俩就差带着扫把。
1,就差没,至于学者尤尔西克劳斯，在有一天谈到海平线上云雾的时候，他百分之百愚蠢地穷追起了云雾的形成，就差没开了节物理课，坎贝尔小姐在场的时候他就开始了，他谈到云雾，随着温度的降低它们做下降运动到达海平线，他还谈到了缩小成水泡状的雾气以及雨云，层云，积云等的科学分类。,至于学者尤尔西克劳斯，在有一天谈到海平线上云雾的时候，他百分之百愚蠢地穷追起了云雾的形成，就差开了节物理课，坎贝尔小姐在场的时候他就开始了，他谈到云雾，随着温度的降低它们做下降运动到达海平线，他还谈到了缩小成水泡状的雾气以及雨云，层云，积云等的科学分类。
1,就差没,”一群人猥亵的笑了起来，就差没开始调戏江儿。,”一群人猥亵的笑了起来，就差开始调戏江儿。
1,就差没,”就差没开记者招待会。,”就差开记者招待会。
1,就差没,……“４号”跳楼摔死，“９号”甚是幸灾乐祸，就差没当众拍手称快了。,……“４号”跳楼摔死，“９号”甚是幸灾乐祸，就差当众拍手称快了。
1,就差没,贾潘安好不容易喝下那三大杯“敬茶”，就差没当场“泄洪”。,贾潘安好不容易喝下那三大杯“敬茶”，就差当场“泄洪”。
1,就差没,而站在兰采幽身旁的赵嬷嬷早已吓得两腿发软，就差没当场晕死过去，却见身旁的这个小妮子，一副天不怕地不怕的模样，心底真是对她服气得很呢！,而站在兰采幽身旁的赵嬷嬷早已吓得两腿发软，就差当场晕死过去，却见身旁的这个小妮子，一副天不怕地不怕的模样，心底真是对她服气得很呢！
1,就差没,”“你们瞧见没，那些个准备上擂台争战的候选人，看到龙家大小姐的仙容后，个个色性大发，就差没当场流口水，有趣“没错！,”“你们瞧见没，那些个准备上擂台争战的候选人，看到龙家大小姐的仙容后，个个色性大发，就差当场流口水，有趣“没错！
1,就差没,贾潘安就差没当场睁着眼睛昏过去。,贾潘安就差当场睁着眼睛昏过去。
1,就差没,他敢保证，当他向她提出这个要求时，曹子婕的眼里绝对隐含着笑意，而且竭尽心力的忍着，就差没当着它的面爆笑出来而已。,他敢保证，当他向她提出这个要求时，曹子婕的眼里绝对隐含着笑意，而且竭尽心力的忍着，就差当着它的面爆笑出来而已。
1,就差没,”商嵩义兴奋得像个捡到钱的小孩，就差没当街手舞足蹈。,”商嵩义兴奋得像个捡到钱的小孩，就差当街手舞足蹈。
1,就差没,盗窃犯们猖撅得就差没当面管他叫笨蛋了（用现在的说法该是失职吧）。,盗窃犯们猖撅得就差当面管他叫笨蛋了（用现在的说法该是失职吧）。
1,就差没,我就差没得诺贝尔奖金了，还需要再沽的什么名？,我就差得诺贝尔奖金了，还需要再沽的什么名？
1,就差没,我就差没得这种病了。,我就差得这种病了。
1,就差没,她们玩得忘记了白天黑夜，忘记了上班下班，就差没忘记工作。,她们玩得忘记了白天黑夜，忘记了上班下班，就差忘记工作。
1,就差没,”上官无忌就差没惊叫出声。,”上官无忌就差惊叫出声。
1,就差没,搭棚时帮着筹料，下种时请师傅指点，跑前跑后，就差没手把手教了。,搭棚时帮着筹料，下种时请师傅指点，跑前跑后，就差手把手教了。
1,就差没,”痴武就差没扑上去抱住他了。,”痴武就差扑上去抱住他了。
1,就差没,”薛璇的眉头攒紧得就差没打个死结。,”薛璇的眉头攒紧得就差打个死结。
1,就差没,大蜻蜓见王小姐向赵老板投怀送抱早心存愤忿，就差没打电话通知警察局来抓卖淫嫖娼的了，又见王小姐处处护着赵老板，亲狎得比夫妻还夫妻，更妒火中烧，发誓要灌倒所有的台湾佬及台湾佬的走狗。,大蜻蜓见王小姐向赵老板投怀送抱早心存愤忿，就差打电话通知警察局来抓卖淫嫖娼的了，又见王小姐处处护着赵老板，亲狎得比夫妻还夫妻，更妒火中烧，发誓要灌倒所有的台湾佬及台湾佬的走狗。
1,就差没,狗儿一进支书家，张长富就把狗儿骂了个鬼吹火，就差没把三代老先人骂出来。,狗儿一进支书家，张长富就把狗儿骂了个鬼吹火，就差把三代老先人骂出来。
1,就差没,客户在5层楼呢，气喘吁吁刚到3楼，突然手一滑，水桶翻落，就差没把他也带下去，那水桶连滚带拐回到底层大门口。,客户在5层楼呢，气喘吁吁刚到3楼，突然手一滑，水桶翻落，就差把他也带下去，那水桶连滚带拐回到底层大门口。
1,就差没,看大哥悲苦的神情，就差没把他气死！,看大哥悲苦的神情，就差把他气死！
1,就差没,他胡乱拉扯，就差没把入口给毁了。,他胡乱拉扯，就差把入口给毁了。
1,就差没,他真像发了疯似的在家里大叫大喊，摔碗摔盆子，就差没把卉揍上一顿。,他真像发了疯似的在家里大叫大喊，摔碗摔盆子，就差把卉揍上一顿。
1,就差没,锁锁知道后，气的不得了，说了一大堆话，什么瘦田无人耕，耕开有人争之类，就差没把南孙比猪比牛。,锁锁知道后，气的不得了，说了一大堆话，什么瘦田无人耕，耕开有人争之类，就差把南孙比猪比牛。
1,就差没,”“你这家伙，明天就要成婚了，还是一大早就溜得无影无踪，急得留守大人发了人四处找你，就差没把太原翻转过来。,”“你这家伙，明天就要成婚了，还是一大早就溜得无影无踪，急得留守大人发了人四处找你，就差把太原翻转过来。
1,就差没,”“连妈妈都说：你实在太贤慧了，陈小山就差没把女人往家里带，你还那样贤慧。,”“连妈妈都说：你实在太贤慧了，陈小山就差把女人往家里带，你还那样贤慧。
1,就差没,不过小山都—一否认，他做得这么好，历年来就差没把女人往家里带，正式介绍给我以姐妹相称，但我在明里，始终抓不到他的坏迹。,不过小山都—一否认，他做得这么好，历年来就差把女人往家里带，正式介绍给我以姐妹相称，但我在明里，始终抓不到他的坏迹。
1,就差没,党籍也挂起来了，就差没把我从劳动中开除了。,党籍也挂起来了，就差把我从劳动中开除了。
1,就差没,”“谢谢”，乌苏娜的冷笑仿佛有抑止泪水的功效，话语也通畅了，“其实我早就应该明白无论我臬勤奋为大家做事，终究还是班里的少数民族，是少数派，就差没把我归到唐诗那一类人里去了。,”“谢谢”，乌苏娜的冷笑仿佛有抑止泪水的功效，话语也通畅了，“其实我早就应该明白无论我臬勤奋为大家做事，终究还是班里的少数民族，是少数派，就差把我归到唐诗那一类人里去了。
1,就差没,”就差没把我的皮剥下来铺在门口给众人当鞋毡。,”就差把我的皮剥下来铺在门口给众人当鞋毡。
1,就差没,医生替我敷了药，啰嗦半晌，就差没把我送到警局去，我铁青着脸跟婀娜解释来龙去脉。,医生替我敷了药，啰嗦半晌，就差把我送到警局去，我铁青着脸跟婀娜解释来龙去脉。
1,就差没,担心她初到于家过夜，一切陌生，不适应，忍不住跑去看她，却发现她房门没关，房里更是没人，急得他找遍客厅、餐厅，就差没把整栋屋子给掀了过来，最后竟然让他发现她像尊雕像，动也不动地站在树丛边喃喃自语，若不是他够冷静，否则还来不及吓“你不睡觉，跑来花园做什么？,担心她初到于家过夜，一切陌生，不适应，忍不住跑去看她，却发现她房门没关，房里更是没人，急得他找遍客厅、餐厅，就差把整栋屋子给掀了过来，最后竟然让他发现她像尊雕像，动也不动地站在树丛边喃喃自语，若不是他够冷静，否则还来不及吓“你不睡觉，跑来花园做什么？
1,就差没,至于日常生活必需品，更是“兵马未到，粮草先行”，从吃的、喝的、服的（常用药）到穿的、用的，应有尽有，就差没把氧气瓶搬来。,至于日常生活必需品，更是“兵马未到，粮草先行”，从吃的、喝的、服的（常用药）到穿的、用的，应有尽有，就差把氧气瓶搬来。
1,就差没,……”屋子一片震天价的笑声，帕甫努季耶夫自己也纵声大笑起来，眯起了由于对情欲的思念而变得火辣辣的眼睛，手里的剃刀就差没把皮带都割断了。,……”屋子一片震天价的笑声，帕甫努季耶夫自己也纵声大笑起来，眯起了由于对情欲的思念而变得火辣辣的眼睛，手里的剃刀就差把皮带都割断了。
1,就差没,”晏四这才回到他原来的思路上来，忙问道：“你进的是哪家院子尤三贵用手一指道：“就是那一家，主人是个告老退仕的京官，原来还过得去，最近因为子孙不肖，已经败落了，就差没把祖宅卖掉！,”晏四这才回到他原来的思路上来，忙问道：“你进的是哪家院子尤三贵用手一指道：“就是那一家，主人是个告老退仕的京官，原来还过得去，最近因为子孙不肖，已经败落了，就差把祖宅卖掉！
1,就差没,”他摸着右胁，又道：“上次你姓沙的在我这地方开了彩，就差没把管某开膛破肚！,”他摸着右胁，又道：“上次你姓沙的在我这地方开了彩，就差把管某开膛破肚！
1,就差没,兰采幽见她的被子拉高到就差没把自己的头闷住，他才终于弄懂，为什么她没感谢对她的救命之恩，反而落得一句卑鄙的下场。,兰采幽见她的被子拉高到就差把自己的头闷住，他才终于弄懂，为什么她没感谢对她的救命之恩，反而落得一句卑鄙的下场。
1,就差没,”“很难，医院不可能泄漏病人的资料，我今天可是献了好久的殷勤，说了一大串会腻死人的甜言蜜语，就差没把自己送给人家，才让那个小护士破例帮我调查，而且还是偷偷摸摸的，花了我好几个钟头等她，等得我都快忍不住翻白眼！,”“很难，医院不可能泄漏病人的资料，我今天可是献了好久的殷勤，说了一大串会腻死人的甜言蜜语，就差把自己送给人家，才让那个小护士破例帮我调查，而且还是偷偷摸摸的，花了我好几个钟头等她，等得我都快忍不住翻白眼！
1,就差没,“都已经归顺我们，现在就差没把那些挡路的开帮元老除掉。,“都已经归顺我们，现在就差把那些挡路的开帮元老除掉。
1,就差没,这大概是她膝下无儿无女的缘故吧，就差没把那些畜牲抱到床上来与自己共枕同眠。,这大概是她膝下无儿无女的缘故吧，就差把那些畜牲抱到床上来与自己共枕同眠。
1,就差没,但巧儿可不顾得这些，一扇门敲得像打雷，就差没把门拆了。,但巧儿可不顾得这些，一扇门敲得像打雷，就差把门拆了。
1,就差没,”她来来回回地踱步、怒吼，就差没抡起金箍棒轰他出门。,”她来来回回地踱步、怒吼，就差抡起金箍棒轰他出门。
1,就差没,”她一股脑儿说了出来，就差没报上生辰八字。,”她一股脑儿说了出来，就差报上生辰八字。
1,就差没,”为表强调，她将身子紧靠在床侧下，就差没抱住床脚。,”为表强调，她将身子紧靠在床侧下，就差抱住床脚。
1,就差没,”脸上浮起轻倩的笑容和他眉来眼去，就差没抱在一起“死打架”。,”脸上浮起轻倩的笑容和他眉来眼去，就差抱在一起“死打架”。
1,就差没,“是……是……”她就差没抱头鼠窜了。,“是……是……”她就差抱头鼠窜了。
1,就差没,搅成这样，什么不该做的都做了，就差没抽鸦片，居然还嫁得个才貌双全的丈夫，会有这种转机！,搅成这样，什么不该做的都做了，就差抽鸦片，居然还嫁得个才貌双全的丈夫，会有这种转机！
1,就差没,”见他有离去的迹象，破晓就差没拍胸脯保证。,”见他有离去的迹象，破晓就差拍胸脯保证。
1,就差没,真是奇怪，刚才两个人还针锋相对，就差没拚个你死我活，这会儿居然好声好气地交谈起来，气氛甚至有点温馨哩！,真是奇怪，刚才两个人还针锋相对，就差拚个你死我活，这会儿居然好声好气地交谈起来，气氛甚至有点温馨哩！
1,就差没,是的，他当然看得出她对他的厌恶，也不知自己俊逸的脸是哪里得罪她的眼睛了，从第一次见面她就没给过他好脸色，抓、咬、骂这些理应在拨妇身上才看得见的不雅行为全被她上演了，就差没拿刀捅他而已。,是的，他当然看得出她对他的厌恶，也不知自己俊逸的脸是哪里得罪她的眼睛了，从第一次见面她就没给过他好脸色，抓、咬、骂这些理应在拨妇身上才看得见的不雅行为全被她上演了，就差拿刀捅他而已。
1,就差没,就差没拿棒子打我，今天特地叫我来给表妹赔罪，望你不计旧恶，原谅我这个无状的表哥吧！,就差拿棒子打我，今天特地叫我来给表妹赔罪，望你不计旧恶，原谅我这个无状的表哥吧！
1,就差没,她的打架架势更是使人胆寒，踢、咬、掐、扯百无禁忌，什么下三滥的招式都使得出来，就差没拿着菜刀砍杀过去，而这一切都只是为了要得到胜利。,她的打架架势更是使人胆寒，踢、咬、掐、扯百无禁忌，什么下三滥的招式都使得出来，就差拿着菜刀砍杀过去，而这一切都只是为了要得到胜利。
1,就差没,”季银芽恼羞成怒，就差没拿西瓜从他头顶上狠狠的罩下去。,”季银芽恼羞成怒，就差拿西瓜从他头顶上狠狠的罩下去。
1,就差没,”我就差没拿起一把大葵扇。,”我就差拿起一把大葵扇。
1,就差没,”就差没捧腹大笑起来。,”就差捧腹大笑起来。
1,就差没,”凝蓝芳心一沉，眼珠转了转就差没掉下泪来。,”凝蓝芳心一沉，眼珠转了转就差掉下泪来。
1,就差没,虽说这已是家常便饭，不过可也难受得紧，就差没掉下眼泪。,虽说这已是家常便饭，不过可也难受得紧，就差掉下眼泪。
1,就差没,领回钥匙那天，一个人关起门呆坐半天，堂堂七尺男儿，激动得就差没掉泪。,领回钥匙那天，一个人关起门呆坐半天，堂堂七尺男儿，激动得就差掉泪。
1,就差没,市纪委书记走了，走之前，他紧紧地握着雷环山的手，感激不已，就差没掉眼泪。,市纪委书记走了，走之前，他紧紧地握着雷环山的手，感激不已，就差掉眼泪。
1,就差没,“当我看到老婆在4号油库上，目光呆滞地看着海面时，我就差没掉眼泪了。,“当我看到老婆在4号油库上，目光呆滞地看着海面时，我就差掉眼泪了。
1,就差没,不管别人怎么说，他还是整天不离马鞍，就差没搂着马睡觉了。,不管别人怎么说，他还是整天不离马鞍，就差搂着马睡觉了。
1,就差没,我就差没搭块板把她给供起来了。,我就差搭块板把她给供起来了。
