1,婉华的眼珠子差点儿没吓掉了，直盯着她眼前那“孔雀”瞧个不停。,婉华的眼珠子差点儿吓掉了，直盯着她眼前那“孔雀”瞧个不停。,,,
1,李铁见他碍路，一伸胳膊往旁一拨，那伪军一仄歪差点没倒了。,李铁见他碍路，一伸胳膊往旁一拨，那伪军一仄歪差点倒了。,,,
1,他演说式的昂着头，挺起胸，差点没喷了若文满托盆的口沫。,他演说式的昂着头，挺起胸，差点喷了若文满托盆的口沫。,,,
1,鲁琳差点没哭了：“是啊，就是你把我的丈夫抓走了？也莫怪呀，你吓唬吓唬他也得掉下来，啊。呔！丑鬼，我家丈夫现在哪里？ 把他放下来。”,鲁琳差点哭了：“是啊，就是你把我的丈夫抓走了？也莫怪呀，你吓唬吓唬他也得掉下来，啊。呔！丑鬼，我家丈夫现在哪里？ 把他放下来。”,,,
1,猛然一个声音响起，他差点没跳了起来。,猛然一个声音响起，他差点跳了起来。,,,
1,你的妻子是否曾经告诉过你，就在你们家发生雪崩的那天，我妻子差点没和她在去往你们小木屋的那条道上出了事故？,你的妻子是否曾经告诉过你，就在你们家发生雪崩的那天，我妻子差点和她在去往你们小木屋的那条道上出了事故？,,,
1,“我楞？这还不便宜你？你的脑袋差点儿没有搬了家！你知道吗？”,“我楞？这还不便宜你？你的脑袋差点儿搬了家！你知道吗？”,,,
1,这时候屋里的人们才把憋了半天的一口气松下来，齐声说：“好险哪！差点儿没有误会了！,这时候屋里的人们才把憋了半天的一口气松下来，齐声说：“好险哪！差点儿误会了！,,,
1,特别是在桥头镇那一次围住了史更新，误认为是围住了吕正操司令，折腾了个天翻地覆，结果遭受了很大的损失，差点儿没有被猫眼司令撤了他的职！因此，他接受了这些经验教训。,特别是在桥头镇那一次围住了史更新，误认为是围住了吕正操司令，折腾了个天翻地覆，结果遭受了很大的损失，差点儿被猫眼司令撤了他的职！因此，他接受了这些经验教训。,,,
1,前些日子我为了去保小李庄被抓走的妇女，叫敌人把我扣起来了，差点儿没有要了我的命！以后，我更不能给他们办事了。,前些日子我为了去保小李庄被抓走的妇女，叫敌人把我扣起来了，差点儿要了我的命！以后，我更不能给他们办事了。,,,
1,这时候，屋里闹得更欢，差点儿没有把小凤的衣裳给扒了。,这时候，屋里闹得更欢，差点儿把小凤的衣裳给扒了。,,,
1, 张嘉庆伸手拽起他，走下门楼，气呼呼地在他脊梁上擂了两拳，说：“看！差点儿没叫他们把你捕了去。”, 张嘉庆伸手拽起他，走下门楼，气呼呼地在他脊梁上擂了两拳，说：“看！差点儿叫他们把你捕了去。”,,,
1,阿泉也跟文雄说得差点儿没翻了脸！,阿泉也跟文雄说得差点儿翻了脸！,,,
1,金一趟坐晚班车从天津回来，差点儿没急疯了，连夜跑出去找翠花……,金一趟坐晚班车从天津回来，差点儿急疯了，连夜跑出去找翠花……,,,
1,瘸子把船系好后，又从芦篷舱里鬼魂一般钻出一个女人来。 韩秋云差点儿没叫了起来：天啦!是水蛇腰。,瘸子把船系好后，又从芦篷舱里鬼魂一般钻出一个女人来。 韩秋云差点儿叫了起来：天啦!是水蛇腰。,,,
1,"""鬼知道她们，门上的锁差点儿没弄断了，""科赫回答。","""鬼知道她们，门上的锁差点儿弄断了，""科赫回答。",,,
1,动手去拉门铃，差点儿没拉断了。,动手去拉门铃，差点儿拉断了。,,,
1,回去之后，差一点儿没有被高铁杆儿活宰了他，全仗着他的妹妹小红儿救了他的一条狗命。,回去之后，差一点儿被高铁杆儿活宰了他，全仗着他的妹妹小红儿救了他的一条狗命。,,,
1,刘墉万没想到叫他参皇上啊。不禁倒吸了一口凉气，罗锅儿腰差一点儿没直喽。他对着和珅咬牙一笑：“你说谁？”“当今万岁，你敢参吗？”,刘墉万没想到叫他参皇上啊。不禁倒吸了一口凉气，罗锅儿腰差一点儿直喽。他对着和珅咬牙一笑：“你说谁？”“当今万岁，你敢参吗？”,,,
1,孔太平差一点没将手中的茶杯笑跌落了。田毛毛得意时，那种娇态特别让人喜爱。,孔太平差一点将手中的茶杯笑跌落了。田毛毛得意时，那种娇态特别让人喜爱。,,,
1,刚才他的枪口在地下灌进了泥土去，他一搂火，不但没有打着二虎，差一点没有把自己伤了，因为他的枪炸坏了。,刚才他的枪口在地下灌进了泥土去，他一搂火，不但没有打着二虎，差一点把自己伤了，因为他的枪炸坏了。,,,
1,茶房端着的那盆脸水，现在是放在地上，差一点没有被他们两个踏翻了。那盆里的水很危险地东荡西荡了半天才平静下来。,茶房端着的那盆脸水，现在是放在地上，差一点被他们两个踏翻了。那盆里的水很危险地东荡西荡了半天才平静下来。,,,
1,太太把头低着，对马伯乐这差一点没有跌掉了膀子的这回事，表示得连看见也没有看见。,太太把头低着，对马伯乐这差一点跌掉了膀子的这回事，表示得连看见也没有看见。,,,
1,何况太太不能晓得，就是晓得了，也没有什么越轨。但是那夜在小板路上，他差一点没有吻了她。现在想起来，才知道那真是万幸的。假若真吻着她了，到现在不成了证据吗？,何况太太不能晓得，就是晓得了，也没有什么越轨。但是那夜在小板路上，他差一点吻了她。现在想起来，才知道那真是万幸的。假若真吻着她了，到现在不成了证据吗？,,,
1,清风街一集资就又要骂娘了，以前修街面路就是集资，差一点没塌了天啊！,清风街一集资就又要骂娘了，以前修街面路就是集资，差一点塌了天啊！,,,
1,他不由的心里一沉，暗想：坏了，去年差一点没叫他枪决了，这回该毁到他手里了。,他不由的心里一沉，暗想：坏了，去年差一点叫他枪决了，这回该毁到他手里了。,,,
1,人家瞧他也跟着看，人家拿着扇子，他不取得人家的同意，伸手就夺：“我瞧瞧！”拿到手里刷啦一打，呼嗒呼嗒扇两下哗啦一折：“给你。”就他这两下连瞧带扇，本主儿差一点没得了半身不遂。,人家瞧他也跟着看，人家拿着扇子，他不取得人家的同意，伸手就夺：“我瞧瞧！”拿到手里刷啦一打，呼嗒呼嗒扇两下哗啦一折：“给你。”就他这两下连瞧带扇，本主儿差一点得了半身不遂。,,,
1,我确实有好几次差点儿没死了。,我确实有好几次差点儿死了。,,,
1,他苯死了，安慰个娃儿也不会，差点没将这娃儿拍死了。,他苯死了，安慰个娃儿也不会，差点将这娃儿拍死了。,,,
1,一连长差点没把杯子在桌上顿碎了。,一连长差点把杯子在桌上顿碎了。,,,
1,早些时候我们已把这些黄金制成了元宝，把那么大一堆元宝弄进银行差点没把我们累折了腰。,早些时候我们已把这些黄金制成了元宝，把那么大一堆元宝弄进银行差点把我们累折了腰。,,,
1,而后，他们又哄我说，别发愁，亏待不了他。哼，七年前，日本人差点没把他的脊梁骨给打折了。,而后，他们又哄我说，别发愁，亏待不了他。哼，七年前，日本人差点把他的脊梁骨给打折了。,,,
1,汽车忽然往左边一闪，马老先生往前一出溜，差点没把小茶壶撒了手；嘴里嘟囔着骂了几句，好在汽车的声音真乱，马威也没听见。,汽车忽然往左边一闪，马老先生往前一出溜，差点把小茶壶撒了手；嘴里嘟囔着骂了几句，好在汽车的声音真乱，马威也没听见。,,,
1,看金秀、金枝把那螃蟹往盆里捡，抱怨说为这螃蟹，差点儿没把腿给遛细了；又抱怨说，现在这螃蟹贵得吓人，再过两年，兴许都吃不起啦。,看金秀、金枝把那螃蟹往盆里捡，抱怨说为这螃蟹，差点儿把腿给遛细了；又抱怨说，现在这螃蟹贵得吓人，再过两年，兴许都吃不起啦。,,,
1,不仅没把梁大牙抓住，反而被梁大牙的枪托子着实砸了一家伙，差点儿没把肋巴骨给砸断了。,不仅没把梁大牙抓住，反而被梁大牙的枪托子着实砸了一家伙，差点儿把肋巴骨给砸断了。,,,
1,才到书房门口，隔着窗户往里一看哪，佛印差点儿没把鼻子气歪了。怎么？一瞧，苏东坡桌子上摆着盘儿鱼。心里这个气呀。,才到书房门口，隔着窗户往里一看哪，佛印差点儿把鼻子气歪了。怎么？一瞧，苏东坡桌子上摆着盘儿鱼。心里这个气呀。,,,
1,说罢，蹲下身去，两手由脚面把大褂往上一提，算命的一看，差点儿没把鼻子给气歪了。,说罢，蹲下身去，两手由脚面把大褂往上一提，算命的一看，差点儿把鼻子给气歪了。,,,
1,88:甲：差点儿没把我气晕了：“怎么回事？太不像话了！我还没吃哪，你怎么都划拉粪筐里啦？”,88:甲：差点儿把我气晕了：“怎么回事？太不像话了！我还没吃哪，你怎么都划拉粪筐里啦？”,,,
1,嘿，乾隆一听差点儿没把鼻子气歪喽。噢，到你这儿连唐诗都给改啦。,嘿，乾隆一听差点儿把鼻子气歪喽。噢，到你这儿连唐诗都给改啦。,,,
1,老先生拉过张椅子来，在小茶几前面坐下；把脊梁往后一仰的时候，差点儿没把电话机碰倒了。,老先生拉过张椅子来，在小茶几前面坐下；把脊梁往后一仰的时候，差点儿把电话机碰倒了。,,,
1,凯蒂说，最严重的一回是他按着她的头狠狠地往地上撞，差一点没把凯蒂的脖子折断了。,凯蒂说，最严重的一回是他按着她的头狠狠地往地上撞，差一点把凯蒂的脖子折断了。,,,
1,她边走边嘀咕，一个不留心，滑的一下掉在一个半人深的臭水沟里，差一点没把汤阿英带了下去。,她边走边嘀咕，一个不留心，滑的一下掉在一个半人深的臭水沟里，差一点把汤阿英带了下去。,,,
1,槲树顿时下起一场冰雹，老枝嫩叶，纷纷掉下，把个熟睡的家伙打醒了，这时他自己也害怕起来了，想差一点没把时间睡过了头，于是拔腿就跑，等他带了酒和玛丽亚·特蕾西亚托捎的信件，刚刚踏到大苏丹的内室门首，时钟恰好指在三点五十九分半。,槲树顿时下起一场冰雹，老枝嫩叶，纷纷掉下，把个熟睡的家伙打醒了，这时他自己也害怕起来了，想差一点把时间睡过了头，于是拔腿就跑，等他带了酒和玛丽亚·特蕾西亚托捎的信件，刚刚踏到大苏丹的内室门首，时钟恰好指在三点五十九分半。,,,
1,上礼拜我去帮两家调解纠纷，差点儿没被那家老二用菜刀给剁了。,上礼拜我去帮两家调解纠纷，差点儿被那家老二用菜刀给剁了。,,,
1,差点没被沙给活埋了！,差点被沙给活埋了！,,,
1,白母眨眨眼睛，怀疑自己是不是年纪大了，眼睛也跟着花了；白父则是嘴巴张到足足可以放下一颗鸵鸟蛋了，嘴里合着的烟也跟着掉到地上去了；而坐在沙发上，自认德高望重的席桐壑也差点没被他嘴里的那口茶给呛到了。,白母眨眨眼睛，怀疑自己是不是年纪大了，眼睛也跟着花了；白父则是嘴巴张到足足可以放下一颗鸵鸟蛋了，嘴里合着的烟也跟着掉到地上去了；而坐在沙发上，自认德高望重的席桐壑也差点被他嘴里的那口茶给呛到了。,,,
1,一进客厅，他差点没被眼前的景象给吓晕了！,一进客厅，他差点被眼前的景象给吓晕了！,,,
1,”水仙差点没被口中的那块肉给噎往了。,”水仙差点被口中的那块肉给噎往了。,,,
1,但就在她来到他的面前时，却差点没被这个男人给愣掉了下颔。,但就在她来到他的面前时，却差点被这个男人给愣掉了下颔。,,,
1,“啧，是那家伙碰到我的事就无法冷静，不关你的事啦，上次和崇恩接吻差点没被他剥了皮，谁教我还是没有学会教训。,“啧，是那家伙碰到我的事就无法冷静，不关你的事啦，上次和崇恩接吻差点被他剥了皮，谁教我还是没有学会教训。,,,
1,”他差点没被口水呛住了呼吸！,”他差点被口水呛住了呼吸！,,,
1,谁知道这两个妞儿那么凶，枕头底下还藏着匕首，差点没被她们杀了！,谁知道这两个妞儿那么凶，枕头底下还藏着匕首，差点被她们杀了！,,,
1,“谁还来得及抄车牌？差点没被沙给活埋了！”,“谁还来得及抄车牌？差点被沙给活埋了！”,,,
1,可结果是一场灾难，这您已经知道了，您自己可以想象得出，当时我得知玛尔法·彼特罗芙娜找到了这个最卑鄙的小官僚卢任，差点儿没给他炮制成了这门亲事，我简直气成了什么样子，——因为这实际上还不就是这样吗？,可结果是一场灾难，这您已经知道了，您自己可以想象得出，当时我得知玛尔法·彼特罗芙娜找到了这个最卑鄙的小官僚卢任，差点儿给他炮制成了这门亲事，我简直气成了什么样子，——因为这实际上还不就是这样吗？,,,
1,钟荃心头一震，忖道：“这位庵主内力比我高出一筹，差点儿没给她挤跌了。,钟荃心头一震，忖道：“这位庵主内力比我高出一筹，差点儿给她挤跌了。,,,
1,”然后又抓住左丘超然就是一拳，再给邓玉函一脚，一面欢叫道：“死老二唐方差点没给吓晕过去了。,”然后又抓住左丘超然就是一拳，再给邓玉函一脚，一面欢叫道：“死老二唐方差点给吓晕过去了。,,,
1,这儿土宜植稻，泥质十分肥沃，杂草不多，那痕迹参杂在凌乱的脚印中，差点没给铁星月、邱南顾等踏乱了。,这儿土宜植稻，泥质十分肥沃，杂草不多，那痕迹参杂在凌乱的脚印中，差点给铁星月、邱南顾等踏乱了。,,,
1,先前那一口，这巨人看来拟乎并不觉得痛，但天知他小乞儿的那一排牙齿可差点没给崩断了，难不成这巨人是铁铸的？,先前那一口，这巨人看来拟乎并不觉得痛，但天知他小乞儿的那一排牙齿可差点给崩断了，难不成这巨人是铁铸的？,,,
1,当时我得知玛尔法·彼特罗芙娜找到了这个最卑鄙的小官僚卢任，差点儿没给他炮制成了这门亲事，我简直气成了什么样子。,当时我得知玛尔法·彼特罗芙娜找到了这个最卑鄙的小官僚卢任，差点儿给他炮制成了这门亲事，我简直气成了什么样子。,,,
1,”我差点没让明叔给气乐了，这套把戏要是头一回使，也许我还真就让他给唬住了，但我早已明白了他的打算。,”我差点让明叔给气乐了，这套把戏要是头一回使，也许我还真就让他给唬住了，但我早已明白了他的打算。,,,
1,张大宽并不是个傻子，差点没让那个家伙送了命，要是收了这３０万，就算没坐牢的话，这辈子就再也别想在这些人手里翻身了，他们因此而逃脱罪责，一旦成了自由人，那就等于你从此失去了自由，一生一世他们都绝不会放过你。,张大宽并不是个傻子，差点让那个家伙送了命，要是收了这３０万，就算没坐牢的话，这辈子就再也别想在这些人手里翻身了，他们因此而逃脱罪责，一旦成了自由人，那就等于你从此失去了自由，一生一世他们都绝不会放过你。,,,
1,康想着笑了，伸手拉开大门——一团红雾狠狠地向他身上一扑，差点没让他摔了一个大跟斗。,康想着笑了，伸手拉开大门——一团红雾狠狠地向他身上一扑，差点让他摔了一个大跟斗。,,,
1,至于那匹闯祸的“碌儿”，差一点没让老夫人叫人给毙了。,至于那匹闯祸的“碌儿”，差一点让老夫人叫人给毙了。,,,
1,差点没让她笑岔了气。,差点让她笑岔了气。,,,
1,刚刚她那么春光一泄，差点没让他的鼻血喷了出来，没想到娇小的东方女子也能拥有如此惹火的身材……“你们为什么脱我衣服？,刚刚她那么春光一泄，差点让他的鼻血喷了出来，没想到娇小的东方女子也能拥有如此惹火的身材……“你们为什么脱我衣服？,,,
1,忽地，跑了一阵子的汝儿停下脚步，差点没让后头的小乌鸦撞歪了她的鼻子。,忽地，跑了一阵子的汝儿停下脚步，差点让后头的小乌鸦撞歪了她的鼻子。,,,
1,”她一层层的翻下去，差点没让这些绣工精巧不俗的布料给淹没了。,”她一层层的翻下去，差点让这些绣工精巧不俗的布料给淹没了。,,,
1,尤其瞧他一副泰山崩于前而面不改色的模样，差点没让她磨碎了牙。,尤其瞧他一副泰山崩于前而面不改色的模样，差点让她磨碎了牙。,,,
1,我们的肚皮差点没让你气破了。”,我们的肚皮差点让你气破了。”,,,
1,张大宽并不是个傻子，差点没让那个家伙送了命，要是收了这30万，就算没坐牢的话，这辈子就再也别想在这些人手里翻身了，他们因此而逃脱罪责，一旦成了自由人，那就等于你从此失去了自由，一生一世他们都绝不会放过你。,张大宽并不是个傻子，差点让那个家伙送了命，要是收了这30万，就算没坐牢的话，这辈子就再也别想在这些人手里翻身了，他们因此而逃脱罪责，一旦成了自由人，那就等于你从此失去了自由，一生一世他们都绝不会放过你。,,,
1,该死的闹钟今天和它的主人一样睡死了，她醒时一看，差点没让自己干脆睡死在床上算了。,该死的闹钟今天和它的主人一样睡死了，她醒时一看，差点让自己干脆睡死在床上算了。,,,
1,寒梅差点没被吓死了，这怎么跟她计划的不大一样？,寒梅差点被吓死了，这怎么跟她计划的不大一样？,,,
1,瓶底儿记得，似乎为了保住佐罗这点油儿，差点没把他给折腾死了。,瓶底儿记得，似乎为了保住佐罗这点油儿，差点把他给折腾死了。,,,
1,”月灵说得理所当然，可是耿亚尘却差点没把口中的东西全部喷出来。,”月灵说得理所当然，可是耿亚尘却差点把口中的东西全部喷出来。,,,
1,转过身正准备再问她一次时，眼前的景象差点没把他吓得嘴巴脱臼！,转过身正准备再问她一次时，眼前的景象差点把他吓得嘴巴脱臼！,,,
1,差点没把他吓倒——天花板已烧成了一个乌黑的大洞，原本空白的墙壁也早已一片漆黑，地板上正铺着报纸以防天花板上随时还会滴水下来；而全套的欧式厨具全毁，还不时传出阵阵的烧焦味……他贬眨眼，不太相信自己眼前所看到的景象。,差点把他吓倒——天花板已烧成了一个乌黑的大洞，原本空白的墙壁也早已一片漆黑，地板上正铺着报纸以防天花板上随时还会滴水下来；而全套的欧式厨具全毁，还不时传出阵阵的烧焦味……他贬眨眼，不太相信自己眼前所看到的景象。,,,
1,”项怀安闻言，差点没把入口的咖啡如数喷出来，“小鬼，”他呛了好几口，然后起身揉揉叶维的头颅，像对待一个淘气的小妹妹一般，“别乱吃一个一个则负责带了一本日记，搭机返回台湾专程去拜访季慕飞。,”项怀安闻言，差点把入口的咖啡如数喷出来，“小鬼，”他呛了好几口，然后起身揉揉叶维的头颅，像对待一个淘气的小妹妹一般，“别乱吃一个一个则负责带了一本日记，搭机返回台湾专程去拜访季慕飞。,,,
1,当丁香要把她头顶上的泡沫处理掉时，她又一屁股地紧跟在后，想要检查丁香有没有把她稀有的银发给洗脱掉，给果在水槽孔里挑出了三根银丝，她一脸伤心欲绝自暴自弃的模样，差点没把丁香逼疯，后来投丁香自动为她再按摩三分钟后，她才释怀了些。,当丁香要把她头顶上的泡沫处理掉时，她又一屁股地紧跟在后，想要检查丁香有没有把她稀有的银发给洗脱掉，给果在水槽孔里挑出了三根银丝，她一脸伤心欲绝自暴自弃的模样，差点把丁香逼疯，后来投丁香自动为她再按摩三分钟后，她才释怀了些。,,,
1,嗯，一阵阵夺命肉香弥漫而来，差点没把饿得发慌的丁香给勾上去。,嗯，一阵阵夺命肉香弥漫而来，差点把饿得发慌的丁香给勾上去。,,,
1,我差点没把佣人们炒鱿鱼，因为他们居然没有一个人知道你什么时候跑掉的。,我差点把佣人们炒鱿鱼，因为他们居然没有一个人知道你什么时候跑掉的。,,,
