1,两年后他高兴地说，第一口差点没吐，后来一次能喝三大碗。,两年后他高兴地说，第一口差点吐，后来一次能喝三大碗。
1,我拽住胖子的那只手又酸又麻，赶紧把枪扔掉，用两只手拽住武装带，胖子被我和阿香的体重往下一坠，勒的差点没吐白沫，突然生出一股狠劲，就这么坠着两个人，一步一步爬向崖边。,我拽住胖子的那只手又酸又麻，赶紧把枪扔掉，用两只手拽住武装带，胖子被我和阿香的体重往下一坠，勒的差点吐白沫，突然生出一股狠劲，就这么坠着两个人，一步一步爬向崖边。
1,背后的柯南差点没跳起来！,背后的柯南差点跳起来！
1,小兰气得差点没晕过去。,小兰气得差点晕过去。
1,他惊叫了起来，差点没从架子上跌落下来。,他惊叫了起来，差点从架子上跌落下来。
1,”北野差一点没说走嘴、赶紧把话岔开，叮嘱浦川说：“还有，味泽潜伏在风见家里的事，请您可千万不要泄露出去。,”北野差一点说走嘴、赶紧把话岔开，叮嘱浦川说：“还有，味泽潜伏在风见家里的事，请您可千万不要泄露出去。
1,他脚穿一双鳄鱼皮鞋和……特的心跳差点没停摆。,他脚穿一双鳄鱼皮鞋和……特的心跳差点停摆。
1,”听到这句话，成辉差点没有一屁股坐到在地上。,”听到这句话，成辉差点一屁股坐到在地上。
1,成辉吓得差点没有坐到地上，“怎么这么熟悉得声音啊，但是不可能啊，他怎么会在这里。,成辉吓得差点坐到地上，“怎么这么熟悉得声音啊，但是不可能啊，他怎么会在这里。
1,“爸爸差点没要我答应他在他回家前把那本书念完呢。,“爸爸差点要我答应他在他回家前把那本书念完呢。
1,随后的两天，神灯老爷上吐下泻，差点没牺牲在收发岗位上。,随后的两天，神灯老爷上吐下泻，差点牺牲在收发岗位上。
1,萧天一把抓过来，差点没背过气去——第一组：成教，预科，商务英语，理学院，法院。,萧天一把抓过来，差点背过气去——第一组：成教，预科，商务英语，理学院，法院。
1,”小研究生差点没晕过去，挺了老半天才挣扎着说：“单词就是咱们这几堂学的，你们好好背一下应该差不多了。,”小研究生差点晕过去，挺了老半天才挣扎着说：“单词就是咱们这几堂学的，你们好好背一下应该差不多了。
1,我们语文老师差点没疯掉。,我们语文老师差点疯掉。
1,听他说完我的鼻子差点没气歪，我哼哼了两声就不理他了。,听他说完我的鼻子差点气歪，我哼哼了两声就不理他了。
1,我随便一甩手，老三就踉跄着差点没有跌倒，可是他的手却没有松开，结果人却是半倚在我的身上。,我随便一甩手，老三就踉跄着差点跌倒，可是他的手却没有松开，结果人却是半倚在我的身上。
1,那同学当时差点没吓成阳萎，恼羞成怒当然要去揍鼠了。,那同学当时差点吓成阳萎，恼羞成怒当然要去揍鼠了。
1,”瑞琪儿吃惊地说，然后突然紧紧抱住路易斯，路易斯差点没从楼梯上摔下去。,”瑞琪儿吃惊地说，然后突然紧紧抱住路易斯，路易斯差点从楼梯上摔下去。
1,他向前跌落进宠物公墓中，差点没落到一块枯黄色的木板上，刺破肚子。,他向前跌落进宠物公墓中，差点落到一块枯黄色的木板上，刺破肚子。
1,”王小飞喝到嘴的啤酒差点没喷出来，“你是说让受伤的皮肤和细胞瞬间愈合？,”王小飞喝到嘴的啤酒差点喷出来，“你是说让受伤的皮肤和细胞瞬间愈合？
1,但是，话说回来，如果她没死－－”他这话使阿瑟差点没崩溃。,但是，话说回来，如果她没死－－”他这话使阿瑟差点崩溃。
1,”当时我吓得魂飞魄散，差点没瘫软在地上。,”当时我吓得魂飞魄散，差点瘫软在地上。
1,我差点没笑出声来。,我差点笑出声来。
1,我听后，差点没吐出血来。,我听后，差点吐出血来。
1,”林海听到这里差点没晕过去，什么，我没听错吧，火化厂，是市西郊的那个火葬厂。,”林海听到这里差点晕过去，什么，我没听错吧，火化厂，是市西郊的那个火葬厂。
1,“扑滋，”我一口酒差点没喷出来，赶紧找了纸巾抹抹嘴角。,“扑滋，”我一口酒差点喷出来，赶紧找了纸巾抹抹嘴角。
1,小梁“啊”的一声惊呼，差点没吓得瘫在地上。,小梁“啊”的一声惊呼，差点吓得瘫在地上。
1,看到他的时候，我差点没从梯子上掉下来，简直是太恐怖的，他一动不动蹲在那里，穿着白色的上衣，脸被乱发遮住了，从那黑乎乎的脸，我可以断定当时他正在目不转睛地盯着我，他的手里还提着一只鸡，那只鸡还在滴血，而且他的嘴上也有血和鸡毛。,看到他的时候，我差点从梯子上掉下来，简直是太恐怖的，他一动不动蹲在那里，穿着白色的上衣，脸被乱发遮住了，从那黑乎乎的脸，我可以断定当时他正在目不转睛地盯着我，他的手里还提着一只鸡，那只鸡还在滴血，而且他的嘴上也有血和鸡毛。
1,我的手机差点没从手上摔下来，一瞬间我的脑子有些乱，不知该说什么才好，我语无伦次地问：“到了？,我的手机差点从手上摔下来，一瞬间我的脑子有些乱，不知该说什么才好，我语无伦次地问：“到了？
1,”鲁问张乍闻语音一震，听内容才知谁到了，差点没拔剑出鞘。,”鲁问张乍闻语音一震，听内容才知谁到了，差点拔剑出鞘。
1,他要停便停，仍是吓坏了一名正在潭中饮水的雪衣少女，蓦地在水中看到他的倒影，尖叫一声，差点没掉下湖去。,他要停便停，仍是吓坏了一名正在潭中饮水的雪衣少女，蓦地在水中看到他的倒影，尖叫一声，差点掉下湖去。
1,”二于观正在马路边儿一个平板车书摊旁翻看着各种“阴阳合璧”、“阴阳裂变”之类的书，双膝突然被人从后用力顶了一下，两腿一弯差点没跪下，勃然大怒举起拳转身四处张望：“孙子……”“这儿呢这儿呢。,”二于观正在马路边儿一个平板车书摊旁翻看着各种“阴阳合璧”、“阴阳裂变”之类的书，双膝突然被人从后用力顶了一下，两腿一弯差点跪下，勃然大怒举起拳转身四处张望：“孙子……”“这儿呢这儿呢。
1,黑子使劲拍唐元豹的后背，元豹岔了气，面条差点没从鼻子里出来，和气地笑：“看电视，看电视。,黑子使劲拍唐元豹的后背，元豹岔了气，面条差点从鼻子里出来，和气地笑：“看电视，看电视。
1,”元豹双手接书，没料到此书是如此沉重，—入怀，差点没压跪下。,”元豹双手接书，没料到此书是如此沉重，—入怀，差点压跪下。
1,”我差点没气晕：“可这是在公元前七千年！,”我差点气晕：“可这是在公元前七千年！
1,”旅行袋差一点没从路路通手中掉下来，仿佛里头真的装了两万镑金子，显得特别沉重似的。,”旅行袋差一点从路路通手中掉下来，仿佛里头真的装了两万镑金子，显得特别沉重似的。
1,他差一点没有高兴得露出马脚来。,他差一点高兴得露出马脚来。
1,路路通非常高兴他终于到了美洲大陆，他觉得现在必须用自己最漂亮的鹞子翻身的动作跳下船来，才能表达他内心的喜悦，但当他两脚落地，踏在这个烂糟了的浮码头上的时候，差一点没栽个跟斗。,路路通非常高兴他终于到了美洲大陆，他觉得现在必须用自己最漂亮的鹞子翻身的动作跳下船来，才能表达他内心的喜悦，但当他两脚落地，踏在这个烂糟了的浮码头上的时候，差一点栽个跟斗。
1,乱石岗的围栅外面差点儿没有发生暴动。,乱石岗的围栅外面差点儿发生暴动。
1,斯特里加得知这个消息后，差点没气晕过去。,斯特里加得知这个消息后，差点气晕过去。
1,他的伙伴赶忙上前救护，他被扶起时，差点没晕过去，好在很快便恢复过来了。,他的伙伴赶忙上前救护，他被扶起时，差点晕过去，好在很快便恢复过来了。
1,这就够了，我差点儿没昏过去，又一颗重磅炸弹呼啸而来，炸得我目瞪口呆：葳葳也是个人工授精的孩子，精子来源竟然也是N市优生医院。,这就够了，我差点儿昏过去，又一颗重磅炸弹呼啸而来，炸得我目瞪口呆：葳葳也是个人工授精的孩子，精子来源竟然也是N市优生医院。
1,我张开眼睛，看见宗佐的汽车正腾空而起朝万丈深壑轰然飞去，差点没有撞上我。,我张开眼睛，看见宗佐的汽车正腾空而起朝万丈深壑轰然飞去，差点撞上我。
1,他们也追了上来，差一点没抓住我的腿。,他们也追了上来，差一点抓住我的腿。
1,我脚下一虚，差点没晕过去。,我脚下一虚，差点晕过去。
1,”我差点没气晕：“可这是在公元前七千年!”我到来不久便知道了“月亮女神”的名字，人们叫她“莎莎”，同时人们也这样称呼一种多汁的红色浆果。,”我差点气晕：“可这是在公元前七千年!”我到来不久便知道了“月亮女神”的名字，人们叫她“莎莎”，同时人们也这样称呼一种多汁的红色浆果。
1,然而当第一块木板掀去时，我差点没叫出来。,然而当第一块木板掀去时，我差点叫出来。
1,我们赶紧奔过去一看，差点没晕倒，黑披风带着猴群把我们的工作站洗劫一空。,我们赶紧奔过去一看，差点晕倒，黑披风带着猴群把我们的工作站洗劫一空。
1,满以为下午会轻松一点，不料各种杂活铺天盖地而来，大伙儿刚把巨大的音箱放下，又赶去百米之遥的宾馆搬电视机，电视机来了，刚坐下看了十分钟，又被叫去搬盆景、搬桌子、搬……家差点没喊出：“God，savemylife!”(上帝呀，救命!),满以为下午会轻松一点，不料各种杂活铺天盖地而来，大伙儿刚把巨大的音箱放下，又赶去百米之遥的宾馆搬电视机，电视机来了，刚坐下看了十分钟，又被叫去搬盆景、搬桌子、搬……家差点喊出：“God，savemylife!”(上帝呀，救命!)
1,但一推开生物舱的门，看到舱内的情景时，我差点儿没发疯，恨不得立刻把那帮畜生挨个儿从舱门踢出去！,但一推开生物舱的门，看到舱内的情景时，我差点儿发疯，恨不得立刻把那帮畜生挨个儿从舱门踢出去！
1,比如说吧，我内存了863.3道名家名菜和整整300种风味小吃的做法，还有……”我差点儿没乐出声来：这家伙肯定把其中一道菜做法的百分之七十的信息丢失了，否则怎么出现了“863.3”种呢？,比如说吧，我内存了863.3道名家名菜和整整300种风味小吃的做法，还有……”我差点儿乐出声来：这家伙肯定把其中一道菜做法的百分之七十的信息丢失了，否则怎么出现了“863.3”种呢？
1,”“哇，”我差点儿没跳起来，扭身撒腿就跑，边跑边叫：“听着，不许跟着我，别跟着我！,”“哇，”我差点儿跳起来，扭身撒腿就跑，边跑边叫：“听着，不许跟着我，别跟着我！
1,”“不!”我差点没跳起来。,”“不!”我差点跳起来。
1,邱先差点没哭出来。,邱先差点哭出来。
1,话说回来，娴步雅走着的卡嘉利实在脸太臭了，基拉差点没笑出来。,话说回来，娴步雅走着的卡嘉利实在脸太臭了，基拉差点笑出来。
1,”身后突然响起一个粗鲁的声音，吓得她差点没跳起来。,”身后突然响起一个粗鲁的声音，吓得她差点跳起来。
1,”她差点没噗嗤的笑出来。,”她差点噗嗤的笑出来。
1,”听见警报突然响起，舰桥上的玛琉等人吓得差点没跳起来。,”听见警报突然响起，舰桥上的玛琉等人吓得差点跳起来。
1,达科斯塔差点没跌倒。,达科斯塔差点跌倒。
1,”后面半句话，又让达科斯塔差点没滑倒。,”后面半句话，又让达科斯塔差点滑倒。
1,”少女气势惊人的怒喝，差点没震破他的鼓膜，而后气冲冲的往同伴方向走去。,”少女气势惊人的怒喝，差点震破他的鼓膜，而后气冲冲的往同伴方向走去。
1,赛布看了也不动声色，倒是他身后的杰基探头过去，吓得差点没晕倒。,赛布看了也不动声色，倒是他身后的杰基探头过去，吓得差点晕倒。
1,原来这就是她表达关心的方式啊，基拉察觉到时差点没笑出来；原来此时的卡嘉利一副惨兮兮的模样，满头都是土耳其烤肉酱和饮料。,原来这就是她表达关心的方式啊，基拉察觉到时差点笑出来；原来此时的卡嘉利一副惨兮兮的模样，满头都是土耳其烤肉酱和饮料。
1,阿斯兰在她的粉颊上轻轻啄了一下；只是嘴唇浅浅碰到就分开，却已经让他的心脏狂跳得差点没迸出来，因为在这之前，他们之间连寒暄的亲吻都没有过。,阿斯兰在她的粉颊上轻轻啄了一下；只是嘴唇浅浅碰到就分开，却已经让他的心脏狂跳得差点迸出来，因为在这之前，他们之间连寒暄的亲吻都没有过。
1,毫无准备的白蔷薇大人，给吓得差点没跳起来。,毫无准备的白蔷薇大人，给吓得差点跳起来。
1,瑟曦差点没气炸。,瑟曦差点气炸。
1,”我差点没摔倒在地。,”我差点摔倒在地。
1,”“你……”燕吹笛被他的固执气得差点没吹胡子瞪眼。,”“你……”燕吹笛被他的固执气得差点吹胡子瞪眼。
1,被他一瞪差点没吓掉半条命的碧落，在他那令人无法辩解的目光下，挣扎了许久终于不得不向他低头。,被他一瞪差点吓掉半条命的碧落，在他那令人无法辩解的目光下，挣扎了许久终于不得不向他低头。
1,”弯腰从箭壶里抓了五支箭，扯开弓就射，没想到他太过托大，第一箭坏了尾羽，没射中靶子，却斜斜地穿过走道，差点没射中柜台后斟酒的一名斡勃勒，然后笃地一声没入柱子中。,”弯腰从箭壶里抓了五支箭，扯开弓就射，没想到他太过托大，第一箭坏了尾羽，没射中靶子，却斜斜地穿过走道，差点射中柜台后斟酒的一名斡勃勒，然后笃地一声没入柱子中。
1,”我再瞪了他一眼，他更加指天发誓，一面还顿著脚：“真的，我还见到了几次，有几次，差点没叫恶鬼……了魂去……恶鬼……共有两个，一身红，看来像是女鬼，会笑，笑起来的声音倒并不可怕……”听到这里，我完全明白了。,”我再瞪了他一眼，他更加指天发誓，一面还顿著脚：“真的，我还见到了几次，有几次，差点叫恶鬼……了魂去……恶鬼……共有两个，一身红，看来像是女鬼，会笑，笑起来的声音倒并不可怕……”听到这里，我完全明白了。
1,我在一震之后，也霍然站起，那领班吓了一大跳，退后了一步，满面惶恐，像是想解释什么，我差点没去捂他的口：“什么也别说，我们另找说话的地方。,我在一震之后，也霍然站起，那领班吓了一大跳，退后了一步，满面惶恐，像是想解释什么，我差点去捂他的口：“什么也别说，我们另找说话的地方。
1,”原振侠和海棠两人，直听得目定口呆，差点没有口吐白沫！,”原振侠和海棠两人，直听得目定口呆，差点口吐白沫！
1,我第一次见到红眉毛绿眼睛的洋人，差点没吓得灵魂出窍，到处人讲到处的话……”雷老滔滔不绝地说着。,我第一次见到红眉毛绿眼睛的洋人，差点吓得灵魂出窍，到处人讲到处的话……”雷老滔滔不绝地说着。
1,再问是同治几年，差点没叫人当疯子办，说是民国都快二十年了！,再问是同治几年，差点叫人当疯子办，说是民国都快二十年了！
1,”高达一听，不禁直跳了起来，潜艇中的空间十分小，他身子向上一弹，头差点没有重重碰在舱顶上，他怪叫了起来：“什么？,”高达一听，不禁直跳了起来，潜艇中的空间十分小，他身子向上一弹，头差点重重碰在舱顶上，他怪叫了起来：“什么？
1,听了静兰不打草稿说出的一番话，楸瑛差点没喷出茶水。,听了静兰不打草稿说出的一番话，楸瑛差点喷出茶水。
1,从来不知晓这个不成文规矩的影月吓得差点没跳起来。,从来不知晓这个不成文规矩的影月吓得差点跳起来。
1,在最后一声钟响结束的前一瞬，两人冲进大厅，差点没踢破大门。,在最后一声钟响结束的前一瞬，两人冲进大厅，差点踢破大门。
1,当我们知道每天偷偷送来点心、肉包、茶水的就是大人您的时候差点没吓坏。,当我们知道每天偷偷送来点心、肉包、茶水的就是大人您的时候差点吓坏。
1,”两人吓得差点没跳起来。,”两人吓得差点跳起来。
1,我的头正好差点没撞到桌子的角！,我的头正好差点撞到桌子的角！
1,初季差一点没大声怒吼。,初季差一点大声怒吼。
1,当时化装的时候因为这个样子太适合他了，才人差点没喷出来。,当时化装的时候因为这个样子太适合他了，才人差点喷出来。
1,刚才差一点没有滑下去，掉在水里，可不是玩的！,刚才差一点滑下去，掉在水里，可不是玩的！
1,她微笑着几乎叫出声来，那么许多黄色的手飘下来摸她，永远差一点没碰到。,她微笑着几乎叫出声来，那么许多黄色的手飘下来摸她，永远差一点碰到。
1,”乔老爷的金鱼眼差点没暴跌出来。,”乔老爷的金鱼眼差点暴跌出来。
1,因为在这之前，她得了一场重病，差点没到阴间去同她那牺牲的老伴、儿子团聚。,因为在这之前，她得了一场重病，差点到阴间去同她那牺牲的老伴、儿子团聚。
1,佳佳，那小外孙女向你当新鲜事讲了以后，你差点没背过气去。,佳佳，那小外孙女向你当新鲜事讲了以后，你差点背过气去。
1,种种手续办完，马老先生差点没晕过去；心里说，早知道这么麻烦，要命也不上外国来！,种种手续办完，马老先生差点晕过去；心里说，早知道这么麻烦，要命也不上外国来！
1,她不但不躲，反倒把狗往前送了一送；马先生的手差点儿没贴着她的胸脯儿。,她不但不躲，反倒把狗往前送了一送；马先生的手差点儿贴着她的胸脯儿。
1,脚伸出去太猛，差点没踩着对面坐着的老太太的小脚尖，于是赶快把腿收回来，同时把跳车的心也取消了。,脚伸出去太猛，差点踩着对面坐着的老太太的小脚尖，于是赶快把腿收回来，同时把跳车的心也取消了。
1,他还记得那天逗拿破仑玩的时候，她的头发差点没挨着他的衣裳；现在他所以的放大了胆子往前巴结：爱情是得进一步便进一步的事儿；老不往前迈步，便永远没有接上吻的希望；不接吻还讲什么爱情！,他还记得那天逗拿破仑玩的时候，她的头发差点挨着他的衣裳；现在他所以的放大了胆子往前巴结：爱情是得进一步便进一步的事儿；老不往前迈步，便永远没有接上吻的希望；不接吻还讲什么爱情！
1,混过一天又一天，心中好似……他差点没哼哼出几句西皮快板来。,混过一天又一天，心中好似……他差点哼哼出几句西皮快板来。
1,”老马先生答应了一声，差点没落下泪来。,”老马先生答应了一声，差点落下泪来。
1,她睁开眼，用手轻轻一推他的嘴，他向后退了两步，差点没倒下。,她睁开眼，用手轻轻一推他的嘴，他向后退了两步，差点倒下。
1,你姐姐，”赵姑父指着李静说：“念了五六年书，今天买皮鞋，明天买白帽子，书钱花得不多，零七八碎差一点没叫我破产，我的老天爷！,你姐姐，”赵姑父指着李静说：“念了五六年书，今天买皮鞋，明天买白帽子，书钱花得不多，零七八碎差一点叫我破产，我的老天爷！
1,差点没出人命！,差点出人命！
1,抽冷子院中狗叫了一声，他差点没由转椅上出溜下去，无声的傻笑了一下，向上提了提身子，继续用手指敲着膝盖。,抽冷子院中狗叫了一声，他差点由转椅上出溜下去，无声的傻笑了一下，向上提了提身子，继续用手指敲着膝盖。
1,每逢走到河水冲击着他们膝盖的地方，两个人都摇摇晃晃地站不稳跟在后面的那个在一块光滑的圆石头上滑了一下，差一点没摔倒，但是，他猛力一挣，站稳了，同时痛苦地尖叫了一声。,每逢走到河水冲击着他们膝盖的地方，两个人都摇摇晃晃地站不稳跟在后面的那个在一块光滑的圆石头上滑了一下，差一点摔倒，但是，他猛力一挣，站稳了，同时痛苦地尖叫了一声。
1,这一蹬，塔纳巴伊差点没有飞下鞍来，但他还是稳住了。,这一蹬，塔纳巴伊差点飞下鞍来，但他还是稳住了。
1,他把屋子安排了一下，整理了一下，差点儿没置办东西。,他把屋子安排了一下，整理了一下，差点儿置办东西。
1,吕西安差点儿没在楼梯上发晕，难过得不得了。,吕西安差点儿在楼梯上发晕，难过得不得了。
1,当他在码头角上走下桥边人行道尽头的石级时，摆在河堤上的旧书摊引起了他的兴趣，他差点儿没有和人讲价买上几本旧书。,当他在码头角上走下桥边人行道尽头的石级时，摆在河堤上的旧书摊引起了他的兴趣，他差点儿和人讲价买上几本旧书。
1,“我告诉你，我差点儿没跪倒在他的脚下，向他声明我是强盗，是坏蛋，或者比这更坏，是个铜子！,“我告诉你，我差点儿跪倒在他的脚下，向他声明我是强盗，是坏蛋，或者比这更坏，是个铜子！
1,”看见这妇女那股子近乎放肆的大方劲儿，被困在这新住处的伊万差点没有鼓起掌来。,”看见这妇女那股子近乎放肆的大方劲儿，被困在这新住处的伊万差点鼓起掌来。
1,”“我差一点儿没犯歇斯底里！,”“我差一点儿犯歇斯底里！
1,——他大声呵叱道，并把那份公文那么直愣愣地捅到柯罗特科夫的脸上，差一点没扎破他的最后的一只眼睛。,——他大声呵叱道，并把那份公文那么直愣愣地捅到柯罗特科夫的脸上，差一点扎破他的最后的一只眼睛。
1,店内一片漆黑，我撞上了用绳子困好放在地上准备退还的杂志，差点没跌一跤，好不容易走到里侧，摸黑脱了鞋子，踏上地板。,店内一片漆黑，我撞上了用绳子困好放在地上准备退还的杂志，差点跌一跤，好不容易走到里侧，摸黑脱了鞋子，踏上地板。
1,这个法国姑娘胖墩墩的肩膀和整个儿袒裸着的胳臂，差点儿没擦着他呢。,这个法国姑娘胖墩墩的肩膀和整个儿袒裸着的胳臂，差点儿擦着他呢。
1,晚上，把我锁起来以后，外边吵啊，闹啊，搞得那个老得不能再老的监狱愈发死寂，我差一点没拿自己的脑袋去撞门上的铁签子。,晚上，把我锁起来以后，外边吵啊，闹啊，搞得那个老得不能再老的监狱愈发死寂，我差一点拿自己的脑袋去撞门上的铁签子。
1,”姑娘叫了一声，费金骤然打住，嘴巴差一点没碰着她的耳朵，双眼逼视着她的眼睛。,”姑娘叫了一声，费金骤然打住，嘴巴差一点碰着她的耳朵，双眼逼视着她的眼睛。
1,”莫罗兹卡咆哮道，差点没跳起来，他仍然不听对方的话，也不想领会对方的高尚精神。,”莫罗兹卡咆哮道，差点跳起来，他仍然不听对方的话，也不想领会对方的高尚精神。
1,定睛看，眼前坐着的竟是璐琴德和安东尼，他不禁大吃一惊，差点没昏到，但两脚却像扎了根似的，一动也不动地站着。,定睛看，眼前坐着的竟是璐琴德和安东尼，他不禁大吃一惊，差点昏到，但两脚却像扎了根似的，一动也不动地站着。
1,我差点儿没有哭出来，好久地望着这无法挽救的怪物。,我差点儿哭出来，好久地望着这无法挽救的怪物。
1,你可不许马上当他的面抽烟，让他慢慢地习惯……”我走进屋子里，瞧了外祖父一眼，差点儿没笑出声来，他果真得意得象个小孩子，高高兴兴地跺着两只脚，红毛茸茸的手在桌子上拍打。,你可不许马上当他的面抽烟，让他慢慢地习惯……”我走进屋子里，瞧了外祖父一眼，差点儿笑出声来，他果真得意得象个小孩子，高高兴兴地跺着两只脚，红毛茸茸的手在桌子上拍打。
1,为了一个女人，我差点儿没留在那里。,为了一个女人，我差点儿留在那里。
1,她没理会那笑意盈盈的凝视，只觉得既想懊恼的冲他尖叫，又想任性的投入他怀抱；这两种迥然不同的情绪差点没将她撕裂。,她没理会那笑意盈盈的凝视，只觉得既想懊恼的冲他尖叫，又想任性的投入他怀抱；这两种迥然不同的情绪差点将她撕裂。
1,费特完全没注意到这些五彩缤纷的负担，他一个突然的拥抱便把她抓离地面，差点没压断她的骨头。,费特完全没注意到这些五彩缤纷的负担，他一个突然的拥抱便把她抓离地面，差点压断她的骨头。
1,哦，彼得找到的原来是一笔早已过时早已埋葬的财富，这东西的幽灵直吓得他差点儿没发疯！,哦，彼得找到的原来是一笔早已过时早已埋葬的财富，这东西的幽灵直吓得他差点儿发疯！
