sentence,label
新的大队正式组成了，都在庆祝这个光荣的日子，好不热闹。老乡们见自己的队伍组织起来了，笑在脸上，喜在心里，有的还送来鸡旦、军鞋等许多慰劳品。,1
自己不会设计图纸，画不出个样子；好容易拼凑出个方案，工程师又报以冷淡的态度，不加支持；开始试制了，最初的结果却是：失败……。,0
彼此俱怀心事的两人互道晚安，各自盘算着不同的未来——※※※西平侯王府落成，鞭炮鼓乐、悬灯结彩好热闹。除了圣上御赐的贺仪之外，远近各府官员也有亲自来贺的，席开三日分别为官宴、家宴。,1
”“印子，如今你已有固定收入，仍然三五千那样付我家用，好不琐碎，我想，不如把入息分一半出来给妈妈－——”“一半？,1
去时并没远虑到自己的臭脚，等一脱开，进亦忧，退亦忧，好不尴尬。或许男人尚容忍，女人是绝对不能宽容的，那张皮笑肉不笑的脸分明在暗示：快走！,1
”这位新署长说：“由于苏联在亚洲、中东、非洲和加勒比积极从事扩张，由于欧洲、日本、中国以及美国本身都受到了威胁，我们现在好不容易才认识到了苏联外交政策的战略目标和侵略本质，以及作为这个外交政策的后盾的军事实力的可怕份量。,0
我好不容易挤到2号车厢厕所去解手，可厕所门锁着不让用，我找乘务员开门，她说：“这个门不开，到前面去！,0
西歧城内，到处摆满大小摊档，店铺林立，各式各样的商品一应俱全，行人熙来攘往，络绎不绝，情景好不热闹。,1
带队的代理副大队长王柏化好不容易找来一块兽骨，在火上烤酥后一一分给大家。,0
”好容易有人指示他：“喏，你儿子、媳妇在那儿。,0
这一天，重建的八家坊清真寺举行落成典礼，市上的领导来了，周围的乡亲来了，好不热闹。,1
有一次四名战士去公园乘坐游艇，好不容易才买到票。,0
好天真的只想时时刻刻看到新朋友，替他们出些力，她在楼梯上奔上奔下的忙个不停：不是拿一样没用的东西去给他们，就是硬要帮他们忙，老是大声笑着，嚷着。,1
”耶莉亚好委屈的，泪珠又要滚落下来。,1
她终于真正仅属于他一人的了…★★★激情燃烧过后，亚克斯好畅快舒服，有一下没一下抚着躺在身边的雪白背脊。,1
好容易转移到离金鸡河南岸只有三十里的王庄时，班里的陈刚和她心爱的独生女儿明明又偏偏发起了高烧，一时把她急得一筹莫展。,0
赤卫队员们提着马灯，亮着电筒，把在押的三个农民、两个农场工人释放了；又搜出了步枪、驳壳等长、短火器十几枝，有背一枝的，有背两枝的，有又背、又掖的，好不威武。最后，大家都说要斩草除根，就四处浇上煤油，一把火将稽查站点燃了。,1
情结轻轻绾第三章选举是外行人看热闹，舞龙弄狮、明星云集好不风光，放黑函、洒狗血，看得小市民们一吐怨气，好过瘾。内行人看门道，最后两天的全力冲刺，各家胜负已经可以看出端倪，对竞选连任的范仲禹也下了定论，默默守成的老议员和来势汹汹的周冲包定了火车尾与落选头，至于谁上谁下，则是不到最后关头势不能揭晓。,1
好不卑贱！”莫尔恰林试图作最后的辩解：“我只说说笑话，别的，什么都没说……”“再哆嗦就把全家都叫起来！,1
他们找来木头当柱子，搭起了工棚；又好不容易找来三口大锅，生起了火。,0
今天整个青岛龙显得特别热闹，因为今天是一年一度的中秋佳节，而且尾、房和氏也各自完成了工作赶回青龙岛，一时之间，岛上好不热闹。,1
半小时许，他回来了，手里拿着一把钥匙，将大门打开，说：“好容易找着管门人，人家忙得脱不开身，知道您是教育孩子的人，才让我替您开门。,0
※※※是夜，留香院内灯火通明，衣香鬓影，好热闹。“赵大爷，您好久没来啦。,1
北京人想静一点就去书吧，一本好书，捧在手里，书香阵阵，心驰神往；也可以去茶吧，一杯清茶，清新幽香，高谈阔论，好自在。,1
只见那只鸽子身上插着一枝箭，模样好凄惨。“可怜的小东西，是谁那么狠心用箭射伤你呢？,1
但是，在给这3名技术人员办理调动手续时碰到了困难：先是那边不放人，好容易做通了那边的工作，落籍又碰到了难题，这3名技术人员举家南迁，而杭州的户口可不是那么容易拿到的。,0
正是晚膳时候，住在这客栈中的行商旅人，大多都在敞厅进膳，喧哗叫嚣之声响成一片，好热闹。大旋风白孤叫住了一个匆匆行过，忙得不可开交的店中夥计，高声道：“喂，我说伙计，来几样精致小菜，再来两斤白乾，大爷我要那么小醉一次。,1
”记者发现她爱哭爱流泪，觉得应该还有某些令她伤感的事情，追问时，她说：“作为我这样一个下岗女厂医，无论是开店还是重建厂医务室，做起来确实不容易，有时候……”她说不下去，好容易又挤出一句：“我真的没做什么，我只是个平凡普通的女人。,0
在早上，在饭后，在晚上好容易抽出共同的时间给同学们上课。,0
记者一位韩国朋友的孩子今年并不参加高考，但听到高考推迟的消息也是一阵哀嚎：“为了迎接高考，孩子们好不容易在寒风中清理了校园里的所有落叶，如今还得再打扫一遍。,0
好容易盼来一部旧片子，不管是春夏秋冬，风雪寒暑，只能露天席地仰观。,0
靠它我们好不容易找到了海洋之星，将它放置在“贝壳”里，咔哒一声响，终于，最后一扇通往“自由和安全”的门打开了。,0
有一次好容易批准我们买了180间房子，又给市百货公司“调剂”去90间。,0
好容易她停了嘴，问她此洞形成的年代，洞中水从何来，钟乳石与南方有什么区别，竟一句也答不上来，令人游兴索然。,0
大家也没有盖房子的经验，好容易砌起来的墙，有时会哗啦一声倒下来……如今，在车间里踏着用白瓷砖铺的洁明如镜的地面，你怎么也想不到当初的艰难。,0
编辑同志：近闻一个小型企业的一位劳资科长的岳母亡故，去火葬场火化的那天，大车小车４０多辆，好不威风！据说这位科长办丧事收礼就有近万元。,1
”她呜呜咽咽哭得好委屈，好惨！,1
一盘盘让人垂涎三尺的菜肴、一缸缸珍藏多年的美酒送到众人面前，所有人随性的席地而坐，大口吃肉喝酒，好不痛快。穿着艳丽彩衣的舞姬和几名赤裸上身的男子来到殿中，随着煽情的乐音跳起求欢舞，看得人脸红心跳。,1
克利斯朵夫竖起耳朵，一边听着台上的话一边转过身子，好不诧异的想瞧瞧有这等天籁的究竟是何等人物。,1
”骄阳的醋热，驱不走斗场上笼罩着的森森煞气，龙栖坪上，气氛在无比的紧张中，带着无比的肃杀，而人们的心也在狂跳着，热血在澎湃着，环境，融合着人们心里的感触，好壮观，好不惨烈。,1
谁曾料想，大哥还是如此窝囊，真叫兄弟心中好不惨然哪！,1
整个社会被激起自觉自新的热情，一时间风生云起，好生动。然而，后来余波渐息，社会风气还是旧态依然。,1
我是问你……有没有发现庄里突然人来人往，好不热闹？”她用手一比窗外。,1
大伙喊出了统一的口号：“为大会忙完了，现在该为自己忙了!”晚会上，你来我往，留地址、签名、合影，好热闹。我也各处游走，满场寻友。,1
大家扳着手指算天数，好容易盼着种子发了芽。,0
邹家华说，根据各地的地理和气候条件，选好容易生长并对经济发展有用途的树种，有计划地进行人工培植。,0
好威风！泠玉一见鬼虎，登时眉开眼笑，道：“大哥，我们又鬼虎连看也没看他一眼，像是把他视作死人一般，他的脸容没有失望，也没有怨忿，他只是瞪着风氏兄弟，道：“我……来……了，你们……要杀……便杀吧……”风清鹰也没料他会如此爽快，笑道：“鬼虎兄，我两兄弟与你素无过节，此行并非要取你性命，弄至此番僵局实属逼不得已，今日只要你能说出令主子墓地所在，我保证不损你半根毛发！,1
好不容易休息几天，谁也不愿意把时间都花在锅台上，买点半成品既好吃又省事儿。,0
”话音刚落，从山上跑下二三百人来，其中一些人敲锣打鼓，好热闹。谷司晨暗自点了点头。,1
他们说：“如果让推土机将这些好不容易建造起来的长城、故宫、黄山、西湖等景点模型推成一堆泥土，那就像是推倒了我们心头的祖国……”钱国华导演表示，摄制组若将这个故事拍成功，一方面要告诉祖国13亿人民，在美国的华人们是多么热爱自己的祖国，另一方面也要告诉国内的有关投资决策者，到海外投资，一定要特别谨慎，事先要作好调查研究，事后要加强经营与管理。,0
来自陕西的张小飞被浙江大学新闻与传播学系录取，亲戚们好不容易凑了五千元。,0
好不容易找到海口办票口，又因为办票人员比显示屏公布时间晚到12分钟而心绪更糟。,0
”好容易盼到冬生成了家里的一个劳动力，冬生的亲生父母却百里来寻儿。,0
烟翠好不失望，幸好大家全心注意着运动服，也没发现她的落寞神情。,1
前一阵参加朋友婚礼，但见婚车车队有奔驰有宝马，好不齐整。因为路不大熟，车队令香樟开道。,1
周末、节假日的夜晚，当地的伐木场、中学等单位的舞厅热闹非凡，新一代农村人舞姿翩翩，好开心。可是峡阳人对家乡的面貌记忆犹新：1平方公里的集镇所在地，居住着1.4万人口。,1
展翅好不理智，他温言向妹妹解释：“我的确是你们大哥，但将来上我还有其它责任，我会是人家的丈夫，孩子们的父亲，我的眼光必需放远一点。,1
分局革委会在这里蹲点的干部，发现了这种苗头，但却错误地认为：这个典型好容易才树立起来，有点“小毛病”算不了什么，只要大的方面过得去就行了。,0
李鹏发动亲朋好友，好不容易凑够了50人组团成功，参与抽奖。,0
桃源县领导为这事伤透了脑筋，好不容易筹措了一些款，可因数额太少，修复、开发“桃花源”工程只好搁浅。,0
同事的孩子好伤心，可依然痴迷着篮球。,1
各地请来的表演班子、歌艺团、特技团等全轮番上阵，好热闹。三十几名面戴纱巾，身材曼妙的窈窈女子，正在翩翩起舞，歌舞唱跳着一曲“喜鹊报喜”。,1
孤单，让人难以忍受，以前园子里的兄弟时时在她附近，有什么事，叫一声就有人出来关心询问，没事，大伙也会齐聚一堂说说笑笑，好快活，那时寂寞是什么？,1
她好不容易气喘喘地挤到窗口，从她怀里掏出一面旗子，向车门递上来。,0
现实中，这样的例子并不少见：某项原创的研究成果，在国际上被同行认可和尊重，在国内却难以得到承认，甚至以“别人没做，你怎么行”等非学术的理由拒绝支持；一些企业好不容易研发的产品，在性能上优于同类国外产品，却可能因为不信任而被拒之门外。,0
后来好不容易在四川搞到一些原料，又找不到车皮运货，一百七八十人的厂子只好停产。,0
”老头狠狠地盯着李玄，看得李玄好尴尬。“咦！,1
即便是足球改革稳步推进之时，一旦国足几场关键球没打好，也足以拖累好容易好转的发展氛围瞬间发生逆转。,0
”我发现自己开始对他产生了好感，他的关心看起来确实是真心的，听到有人相信我，心中好高兴，小心，我警告自己，信任卡什是一件危险的事。,1
二人在这照面之间，异常快捷，已互不相容的连连以绝招攻敌，几手没有丝毫回转的余地，奇式自保，好不惊人。在两声喝叫中，掌影纵横而起，漫天盖地，有如天瀑倒悬，绵绵不绝的绞糅在一起。,1
阿联酋中国机电产品展览中心董事长郝锋说，1999年他在阿考察时，惊讶地发现当地没有一件中国机电产品，好容易在迪拜中心商城看见一台中国产的海尔冰箱，人家却非说成是韩国生产的。,0
后来发现一个诺大的白晃晃的钢蹦，伸手去拾，竟是一口痰，好扫兴恶心，张着肮脏的手找水。,1
他想起今年2月间社员上山积绿肥，山又陡，路又滑，好些妇女滑跌了跤，膝盖上碰破了皮，流着血，没有人叫一声苦；经过几个月苦干，给每亩田送下三万斤肥料，好容易从撒秧到把秧栽下，能够眼看着到手一半的粮食被干旱夺走吗？,0
后来她的两个哥哥也都去下煤洞卖命，好不容易才又供她念了几年书。,0
记者的一位同事说：“全家三口好不容易盼来共同的长假，可走哪儿都是人，买个门票吃顿饭还得排大队，真累！,0
“不是梦，老天诛及邪天诛都非毙于我手，令我好痛快，不管你是人还是阴魂不散的鬼魂，出现得正是时候。,1
有两辆汽车焉，一个在前，一个在后，警笛大作，弹如雨下，小伙子好威风，结果打死了警察或打死了路人，真面目被认出来，不到几个月就被官府捉住吊死。,1
三年来，她头戴奥运金冠，在世界羽坛上威风八面，好气派。然而，在赛场上，她是众矢之的，身陷重围，所受的冲击越来越强烈，终于在此次世锦赛之前，她开始负多胜少，发出“王莲香时代”即将结束的强烈信号。,1
胭脂湖畔的杜丫丫，早年家里逢大水，无一牲畜……活口幸存，她被八大胡同的燕嬷嬷拾了去，本想待她大了些好接客，挣点花银，可是……人算不如天算，谁知她打小就聪明过了头，知晓四处攀关系，这个爷儿叫干爹，扯着那个爷儿就燃起三柱香结拜喊大哥，叔叔伯伯唤得可亲热，连丐帮帮主都成了她兄弟，一窝子乞丐全挺她，在扬州城好威风。因乞儿手“巧”，她习得一手好本事，只要她错身而过小手一溜，神愉都得甘败下风。,1
”说罢，无行还当真向无心行了个大礼，模样好不委屈。“嗯！,1
看到开明与冯小姐谈得好不高兴，又后悔早回。,1
比方说，你好不容易让编辑看上了你的稿子，编辑给你打电话：“叶某人，你的这篇文章不错，请你打印后将它发到我的电子信箱里，好吗？,0
总结中，同学们你一言我一语，好不畅快：“这节课真过瘾。,1
果然，仅仅几年工夫，圆明园内船帆点点，绿树丛丛，歌声笑语，鼓乐喧天，甚至在“西洋楼”跟前抬起了“花轿”，吹吹打打，好热闹，把让人静穆凭吊的“圆明园遗址”，变成了熙熙攘攘的“遗址公园”，甚至把象但是，只要圆明园依然是个热热闹闹的娱乐场所，即使轿子离得再远，这能改变圆明园已经被改变了的身份和性质吗？,1
只是他还没冲到目标前，身子就被俐落而力量强大的一拳打得飞出去，他放声哀嚎着，撞翻了宴会里的大量餐点，身上沾满了各式调味料与食物，跌倒在墙角呻吟，看来好狼狈。萼儿有些惊讶地抬起头来，她本来想避开了事，却没有想到竟然会有人替她挡去疯狂的陈永全。,1
群众劝他休息一下再干，他说：“我们好不容易有钱修路，就是累死也要把路修通。,0
”美联社记者接着说：“在不久前朝鲜北部的一场大空战中，两架B——29轰炸机被击落，另外三架好不容易摇摇摆摆飞回联军基地进行毁机着陆。,0
冷凝香道：“我洒出的毒生效了，它们不敢越过那一圈毒，只不知道彼此间能相持多久……”忽听那怪老者吹出的笛声转急，一声声既短又快，好不难听，能听得人浑身起鸡皮疙瘩。,1
好不容易接通了四条血管，顿时人们发现肢端动脉恢复了搏动，皮温也转暖，断血达七个小时的伤肢再一次得到了血液供给。,0
不想争吵更激烈了，非但没有制止住，反而引来众多群众围观，好热闹。这下子可惨了，弄得这２０来号食客们坐立不安，面红耳赤。,1
船长朱大相全神贯注，紧把舵杆，好容易地使大船靠上了第一只小船，大家奋不顾身进行抢救。,0
好不容易盼到有机会到县城去洗澡，刘雪飞她们像过节般地把自己“打扫”了一遍。,0
这一折腾，羊群跑散了，王光他们东堵西截，好容易把羊赶回栏，一点数少了3只。,0
急切间，我四下张望，却看不到任何服务台，好容易看到一个像是东方航空公司的柜台，我赶过去问：“请问机场服务台在哪儿？,0
不久，叶天朗的朋友露莎、朱丽亚、马国司、杜贝宁和他的表弟也来了，玻璃屋好不热闹，大家吃点心，聊天。,1
”这家报纸说，好容易才减了一点点所得税，但是火车费、公共汽车费、瓦斯费和电费都要涨价。,0
接着，他又想方设法借钱，好不容易凑了8000元，到医院交了这笔药费。,0
馥儿被他热烈的目光盯得好不自在，娇羞地垂下螓首，声如蚊蚋，“是不是做得很丑？,0
”钟灵顺口一说，一旁的木婉清却刮着脸蛋笑道：“钟灵，你这小鬼好怕羞，这种话也说得出口！,1
真巧，我们在参与《中华大典·体育分》广搜体育史料之，费心劳力，总算劳有所获，在１９０２年的《杭州白话报》注第２４期至３１期上，喜了该全文，好不痛快！体育史界的学者曾说，《国民体育学》一，是研究清末体育的必读文献之一，它的历史价值是显著的。,1
还写到傅彪和他妻子张秋芳是同学，那时张秋芳的成绩非常好，傅彪默默地追她，好不容易陈薪伊给了他一个小角色，终于和张秋芳进了一个组。,0
猪舍普遍建成上下两层，并在顶层开辟出立体绿化的细绿萍水池，既防暑，又可为猪提供冲凉的净水，使它们“住楼房，睡钢床，洗淋浴，吃食堂……”优哉游哉，好惬意。养殖场本是一家以养猪为主的农事企业。,1
记者好容易挤进人群，把他请到僻静处交谈，马上被跟随而来的观众围住。,0
顿时，有关企业主管部门门前，车水马龙，好不热闹。来者中有盈利的，也有亏损的；有产品畅销的，也有卖不出去的；有债多的，也有债少的。,1
轰鸣的炮声，常常打断他的思路；暴雨来了，无法书写，他只好用匕首把观点记在石壁上；问题考虑成熟后，却又找不到纸，后来好容易捡到一张“糖水桔子”罐头商标纸，钢笔又没有水了。,0
”他抓了把鼻涕，继续的说：“有一次俺娘饿了两天，好容易称了二斤米到碾上去推，地主见了大骂，他说二月里龙抬头，碾磨不能动……。,0
果不其然，当他冲进房里时，他看见耶莉亚孩子般的跟着电视的音乐，手舞足蹈地跳得好快活。韩雨冲上前，第一个动作当然是将电视机的声音转小。,1
等到美国好容易下定决心开始制裁俄罗斯，却因为无法得到欧盟的全力支持而迟迟无法达到其想要的效果。,0
一块块的纠结鼓起，看上去好不吓人。想到这里，她的视线不由得转到岳昊极身上，刚刚在庭院，岳昊极扶她起身时，她也感觉到他那身隐藏在西装下的强健身躯。,1
好不容易找出原因，解决了难题。,0
二十七日上午九时许，驻守在泉州湾交叉部的武警福建省后渚港边防工作站内莺莺笑语，好不热闹。,1
一天，记者来到商县大荆乡大荆村赶集，一位老乡指着面前的四只活兔不停地吆喝：“毛重总共十六斤，一斤六角钱，谁看上谁买……”好不容易才有两三个过路的外地人搭腔，讨价还价半天，一只仅给一元钱便达成交易。,0
好不容易整好地，接着就是准备地膜、种子、肥料等，光这些就得需要上万元的资金。,0
这一夜他过得好不快乐，愈发爱她爱得入了迷。,1
这一下子，成了。一切都完了，好不痛快！,1
这期间购票者队伍越排越长，蜿蜒至大厅外台阶下，中午阳光照射，时间一久，好不心焦！这时只见好几个票贩子趁机活动其间，把火车票存在烟盒内兜售。,1
于是歌剧院成为角斗场，乱作一团，随意解雇、高薪乱聘、后台工作人员罢工、前台演员迟到早退……就像法国大革命尚未结束，好不热闹。半年前订好票的女士，涂好胭脂水粉，穿上黑色晚服，挽着戴上礼帽的丈夫手臂，准备来度过一个醉人的夜晚。,1
眉，所以你我的好事，到今天才算磨出了头，我好不快活。今天与昨天心绪大大的不同了。,1
谢奇摄差距在“撵”中缩小——访陕西省省长程安东差距在“撵”中缩小——访陕西省省长程安东本报记者孟西安程安东省长是个大忙人，记者好不容易在他会见外宾前的空隙里找到了他，请他就缩小中西部与东部差距的热门话题谈谈自己的看法。,0
补习班老板一个比一个阔，有的脑满肠肥，有的身揣绿卡，有的还在加利福尼亚海滩，别墅焉、地产焉，好风光。一些“恶补大王”型的教习，更是身价非凡。,1
学生们大都住在上世纪五六十年代建的老房子里，４０多人挤在一间宿舍里，学习生活好难堪！如今，新建的教学楼巍然耸立、宽敞明亮，先进的语音教室和计算机房成了学生们恋恋不舍的地方，新盖的学生宿舍楼极具人才流失、校舍陈旧、危房增多，辍学率高，教学点分散，曾是导致边境地区教育发展滞后的主要问题。,1
但是，当时大多数书店狭小简陋，求知若渴的人们熙来攘往，汗流浃背，好辛苦。又过了10年，我开始带着女儿逛书店，书的种类很多很多，装帧得很漂亮。,1
在当地党组织负责人杨石魂同志协助下，我们四人——恩来、叶挺、我和杨石魂，再加上船工，一叶扁舟在海上颠簸搏斗两天一夜，好不容易才到了香港。,0
而赢了球的北京首钢京师队主教练孙凤武好不容易平息了看台上的“下课”声，迎来第一个主场胜利，更是大大表扬了队员们的顽强作风。,0
然后去叫那个青年小心爬到她房里，两人上了床，玩了一夜，好快乐，直到天亮时，那个青年才回家去。,1
眼前山势开朗，水秀花明，景致无边，有三四道小泉瀑挂在石上，水声潺潺，好不动人。,1
外国宾客穿戴好龙袍，先当“皇帝”后尝鸭，好不开心。本报记者徐建中摄,1
我们好容易爬上山腰，这时，几十丈高的青石陡壁横立在前面。,0
网易好不容易兴冲冲地扑进纳斯达克，没料想热脸给了个冷屁股，头一天就跌破发行价。,0
“我们一直做得很好，就在我们好不容易做到20万美金时，其中一人突然卷款而走，再也找不到他的踪影。,0
曹操〔６〕设了“摸金校尉”之类的职员，专门盗墓，他的儿子却做了皇帝，自己竟被谥为“武帝”，好不威风。这样看来，死人的安危，和生人的祸福，又仿佛没有关系似的。,1
于是又挤进百货公司，好容易选了一块合心的料子，兴冲冲地拿到服装公司的成衣部。,0
林业科研人员、林业局的领导们还有更深的忧虑：50年代赤峰就开始不间断地造林，但效果不好，辛辛苦苦栽上10万亩林子，却有20万亩土地重新沙化；好不容易保留下来的林子，又几乎变成清一色的“小老树”。,0
月14日晨，纳粹军队开进了巴黎这座“不设防的城市”。6月14日上午，巨大的“”字旗帜升起在巴黎主要广场上，高高飘扬在埃菲尔铁塔顶端，德军士兵在马路上昂首阔步，好不得意。,1
于是出现了这样一幕幕景象：有的厂表面上贴了封条，机器却昼夜不停，白天派人放哨，夜里有人值班，一有动静就紧急停机；有的为了逃避关停命运，临时借来几台造纸机装样子，以便从“理论”上突破5000吨规模；有的一见检查人员来了，工人们便声泪俱下地跪下求情，说大伙好不容易集了点资，本还没收回呢；有的地方政府多方包庇纵容，以保住这根“财政支柱”……面对这块“硬骨头”，各省都拿出了“挥泪斩马谡”的决心。,0
此刻身后一名内地摄影记者误入文字记者队中，突然发现错领了文字采访，他好气恼，只好回去交涉，他却把三脚架交给我，托我带入场内，无奈我又多了一件重物。,1
我心里好不憋气窝火，我成了人家的累赘了？,1
”行者在旁闪过，见那魔王生得好凶丑：独角参差，双眸幌亮。,1
业主们淘汰了“嘣嘣嘣”，换成了崭新的“东风”、“解放”出入由红砖绿瓦砌成的市场大门，好惬意……市场一辟再辟，果香飘洒在齐鲁大地……正当堤口果品批发市场火爆之际，黄河堤内的泺口鼙鼓喧天，彩旗猎猎———泺口服装批发市场开张大吉。,1
当时就在浴场的大厅里摆下了螃蟹宴，主席和大家一起边吃边谈，大家听着渔家翻身的乐趣，并叙述着远游海洋戏水成趣的情景，谈笑风生，好不畅快！,1
坐在如意树下心里好不伤悲——你看那四周围尽是断木泥块。,1
大卫心中好得意，可是他仍然不卑不亢，脸上依旧挂着微笑，只是平添了几分抑制不住的嘲讽。,1
晚餐吃的是稀饭，味精猪油加葱花，大家都认定是鸡汤粥，一个个喝得好痛快。,1
好容易制定了“特种战争”政策，在南越却遭到南越人民的坚决回击，如今已深陷绝境。,0
聪慧打扮得好美丽！白色的瑞士点麻纱裙子，灯笼袖，我看得一呆。,1
我到时屋里已经是高朋满座了，都是阿渔同班同学，有李青、大刘、小王、木瓜、鸡皮，还有他们的太太孩子，坐了一屋子，好热闹。小李的样子很愉快，他和我握手时手掌里传来的感情是由衷的，脸上的笑容是自然而出自内心的，仿佛在此刻看到我是他今天最高兴的事一样。,1
冯文峰被向南顶得好不自在！所以忍不住还想报复几句。,0
本来好不容易搞清了的东西，如今又有人搞不清楚了。,0
来到那破屋底下，他看见还有一扇门，可是早已下了锁，他只得在附近捡了些干草，铺在脚下，席地而坐，好不凄惨；心中十分抱怨圣朱理安，不该叫他的信徒落到这样的地步。,1
东方朔虽是对看来好哀怨的适意寄予无限的同情，可是，他还是不愿把手中的铜钱让给她。,1
描绘欢快民俗场面的《元宵乐》，人物动感强，踏歌舞虎，锣鼓喧天，好不热闹！《新婚志喜》构图严谨，线条流畅，以红色的基调，缤纷的花团锦簇来烘托喜庆的气氛，明烛、红枣、花生等小景物，寄托了新郎新娘对美好生活的憧憬。,1
根据报名单上的地址，好容易找到了在杨树浦的那条偏僻的马路，进了弄堂，蓦地不由吃了一惊。,0
我们花了很大的气力，好不容易才缓解了农副产品供求之间的尖锐矛盾。,0
”谈起打工，村民杨丙安非常激动：“有时好容易找了个零工，干完了，却领不到钱！,0
由于路不宽，我让他走在前面一点，这时我看出他昂着头，那神气好傲慢，令人绝望，我担心他已察觉了我和我的朵拉的事。,1
大家安歇下来，客人已倦极欲眠，婆媳俩却睡不着，隔屋交谈，先是婆婆开口：“一局棋才下了半局，就被这个客人打断了，好扫兴。”媳妇也道：“是啊，偏偏又无余屋，客人就睡在棋枰旁边，无法继续，媳妇已构思了几手妙着，这次必胜无疑，害得我连觉也下能睡。,1
祖母可得安详，我的心中好不怅惘。唯有那歌声依然清脆，袅袅炊烟绕过房梁。,1
